,Unnamed: 0,reference_num,Ligand1,Ligand2,Lable,Lable1,Lable2,Rank1,Rank2,Rank,Ligand1_num,Ligand2_num,abs_label_p,abs_predict_p
0,0,0,CDK2//CDK2_22_dgl_group.pkl,CDK2//CDK2_32_dgl_group.pkl,-1.3907468586786171,5.783740904345995,7.174487763024612,2,0,2,CDK2_22,CDK2_32,7.174487590789795,6.742825984954834
1,1,0,CDK2//CDK2_22_dgl_group.pkl,CDK2//CDK2_28_dgl_group.pkl,-2.3914959210082056,5.783740904345995,8.175236825354201,2,1,2,CDK2_22,CDK2_28,8.175236701965332,7.108876347541809
2,2,0,CDK2//CDK2_22_dgl_group.pkl,CDK2//CDK2_22_dgl_group.pkl,0.0,5.783740904345995,5.783740904345995,2,2,2,CDK2_22,CDK2_22,5.783740997314453,5.863617330789566
3,3,0,CDK2//CDK2_22_dgl_group.pkl,CDK2//CDK2_31_dgl_group.pkl,-1.236219429936547,5.783740904345995,7.019960334282542,2,3,3,CDK2_22,CDK2_31,7.019960403442383,6.106365352869034
4,4,0,CDK2//CDK2_22_dgl_group.pkl,CDK2//CDK2_20_dgl_group.pkl,-0.6328266129437097,5.783740904345995,6.416567517289705,2,4,4,CDK2_22,CDK2_20,6.416567325592041,5.931150004267693
5,5,0,CDK2//CDK2_22_dgl_group.pkl,CDK2//CDK2_29_dgl_group.pkl,-1.486406695518946,5.783740904345995,7.270147599864941,2,5,5,CDK2_22,CDK2_29,7.270147800445557,6.623601913452148
6,6,0,CDK2//CDK2_22_dgl_group.pkl,CDK2//CDK2_1h1q_dgl_group.pkl,-0.2354703676069611,5.783740904345995,6.0192112719529565,2,6,6,CDK2_22,CDK2_1h1q,6.019211292266846,4.743675351142883
7,7,0,CDK2//CDK2_22_dgl_group.pkl,CDK2//CDK2_1h1s_dgl_group.pkl,-2.49451420683625,5.783740904345995,8.278255111182245,2,7,7,CDK2_22,CDK2_1h1s,8.278255462646484,6.578283548355103
8,8,0,CDK2//CDK2_22_dgl_group.pkl,CDK2//CDK2_1h1r_dgl_group.pkl,0.1398105307666339,5.783740904345995,5.643930373579361,2,8,8,CDK2_22,CDK2_1h1r,5.643930435180664,5.568599388003349
9,9,0,CDK2//CDK2_22_dgl_group.pkl,CDK2//CDK2_17_dgl_group.pkl,0.60339281699284,5.783740904345995,5.180348087353155,2,9,9,CDK2_22,CDK2_17,5.180347919464111,5.758495882153511
10,10,0,CDK2//CDK2_22_dgl_group.pkl,CDK2//CDK2_21_dgl_group.pkl,0.0220753469631533,5.783740904345995,5.761665557382842,2,10,10,CDK2_22,CDK2_21,5.761665344238281,5.957450017333031
11,11,0,CDK2//CDK2_22_dgl_group.pkl,CDK2//CDK2_1oi9_dgl_group.pkl,-1.3833884096909,5.783740904345995,7.167129314036895,2,11,11,CDK2_22,CDK2_1oi9,7.1671295166015625,5.820663027465344
12,12,0,CDK2//CDK2_22_dgl_group.pkl,CDK2//CDK2_1oiy_dgl_group.pkl,-1.4201806546294868,5.783740904345995,7.203921558975482,2,12,12,CDK2_22,CDK2_1oiy,7.203921794891357,6.581837892532349
13,13,0,CDK2//CDK2_22_dgl_group.pkl,CDK2//CDK2_1oiu_dgl_group.pkl,-0.8977307765015423,5.783740904345995,6.681471680847538,2,13,13,CDK2_22,CDK2_1oiu,6.681471824645996,6.28314596414566
14,14,0,CDK2//CDK2_22_dgl_group.pkl,CDK2//CDK2_26_dgl_group.pkl,-0.4194315922998983,5.783740904345995,6.203172496645894,2,14,14,CDK2_22,CDK2_26,6.20317268371582,5.396613776683807
15,15,0,CDK2//CDK2_22_dgl_group.pkl,CDK2//CDK2_30_dgl_group.pkl,-1.434897552604923,5.783740904345995,7.218638456950918,2,15,15,CDK2_22,CDK2_30,7.21863842010498,6.890748977661133
16,16,1,CDK2//CDK2_17_dgl_group.pkl,CDK2//CDK2_32_dgl_group.pkl,-1.994139675671457,5.180348087353155,7.174487763024612,9,0,9,CDK2_17,CDK2_32,7.174487590789795,6.290306568145752
17,17,1,CDK2//CDK2_17_dgl_group.pkl,CDK2//CDK2_28_dgl_group.pkl,-2.9948887380010456,5.180348087353155,8.175236825354201,9,1,9,CDK2_17,CDK2_28,8.175236701965332,6.671348810195923
18,18,1,CDK2//CDK2_17_dgl_group.pkl,CDK2//CDK2_22_dgl_group.pkl,-0.60339281699284,5.180348087353155,5.783740904345995,9,2,9,CDK2_17,CDK2_22,5.783740997314453,5.032437279820442
19,19,1,CDK2//CDK2_17_dgl_group.pkl,CDK2//CDK2_31_dgl_group.pkl,-1.839612246929387,5.180348087353155,7.019960334282542,9,3,9,CDK2_17,CDK2_31,7.019960403442383,5.517923980951309
20,20,1,CDK2//CDK2_17_dgl_group.pkl,CDK2//CDK2_20_dgl_group.pkl,-1.2362194299365497,5.180348087353155,6.416567517289705,9,4,9,CDK2_17,CDK2_20,6.416567325592041,5.490013599395752
21,21,1,CDK2//CDK2_17_dgl_group.pkl,CDK2//CDK2_29_dgl_group.pkl,-2.089799512511786,5.180348087353155,7.270147599864941,9,5,9,CDK2_17,CDK2_29,7.270147800445557,6.076227068901062
22,22,1,CDK2//CDK2_17_dgl_group.pkl,CDK2//CDK2_1h1q_dgl_group.pkl,-0.8388631845998011,5.180348087353155,6.0192112719529565,9,6,9,CDK2_17,CDK2_1h1q,6.019211292266846,3.6774277687072754
23,23,1,CDK2//CDK2_17_dgl_group.pkl,CDK2//CDK2_1h1s_dgl_group.pkl,-3.09790702382909,5.180348087353155,8.278255111182245,9,7,9,CDK2_17,CDK2_1h1s,8.278255462646484,6.204441547393799
24,24,1,CDK2//CDK2_17_dgl_group.pkl,CDK2//CDK2_1h1r_dgl_group.pkl,-0.463582286226206,5.180348087353155,5.643930373579361,9,8,9,CDK2_17,CDK2_1h1r,5.643930435180664,4.333074927330017
25,25,1,CDK2//CDK2_17_dgl_group.pkl,CDK2//CDK2_17_dgl_group.pkl,0.0,5.180348087353155,5.180348087353155,9,9,9,CDK2_17,CDK2_17,5.180347919464111,5.260139539837837
26,26,1,CDK2//CDK2_17_dgl_group.pkl,CDK2//CDK2_21_dgl_group.pkl,-0.5813174700296866,5.180348087353155,5.761665557382842,9,10,10,CDK2_17,CDK2_21,5.761665344238281,5.469401299953461
27,27,1,CDK2//CDK2_17_dgl_group.pkl,CDK2//CDK2_1oi9_dgl_group.pkl,-1.98678122668374,5.180348087353155,7.167129314036895,9,11,11,CDK2_17,CDK2_1oi9,7.1671295166015625,5.181724615395069
28,28,1,CDK2//CDK2_17_dgl_group.pkl,CDK2//CDK2_1oiy_dgl_group.pkl,-2.023573471622327,5.180348087353155,7.203921558975482,9,12,12,CDK2_17,CDK2_1oiy,7.203921794891357,6.528875708580017
29,29,1,CDK2//CDK2_17_dgl_group.pkl,CDK2//CDK2_1oiu_dgl_group.pkl,-1.5011235934943823,5.180348087353155,6.681471680847538,9,13,13,CDK2_17,CDK2_1oiu,6.681471824645996,5.642787456512451
30,30,1,CDK2//CDK2_17_dgl_group.pkl,CDK2//CDK2_26_dgl_group.pkl,-1.0228244092927383,5.180348087353155,6.203172496645894,9,14,14,CDK2_17,CDK2_26,6.20317268371582,4.523676991462708
31,31,1,CDK2//CDK2_17_dgl_group.pkl,CDK2//CDK2_30_dgl_group.pkl,-2.038290369597763,5.180348087353155,7.218638456950918,9,15,15,CDK2_17,CDK2_30,7.21863842010498,6.360525608062744
32,32,2,CDK2//CDK2_1oiu_dgl_group.pkl,CDK2//CDK2_32_dgl_group.pkl,-0.4930160821770748,6.681471680847538,7.174487763024612,13,0,13,CDK2_1oiu,CDK2_32,7.174487590789795,7.641670644283295
33,33,2,CDK2//CDK2_1oiu_dgl_group.pkl,CDK2//CDK2_28_dgl_group.pkl,-1.493765144506663,6.681471680847538,8.175236825354201,13,1,13,CDK2_1oiu,CDK2_28,8.175236701965332,7.894471764564514
