,Unnamed: 0,reference_num,Ligand1,Ligand2,Lable,Lable1,Lable2,Rank1,Rank2,Rank,Ligand1_num,Ligand2_num,abs_label_p,abs_predict_p
0,0,0,Jnk1//Jnk1_18632-1_dgl_group.pkl,Jnk1//Jnk1_18629-1_dgl_group.pkl,0.3016964084964213,6.681471680847538,6.379775272351116,9,0,9,Jnk1_18632-1,Jnk1_18629-1,6.379775047302246,6.433987036347389
1,1,0,Jnk1//Jnk1_18632-1_dgl_group.pkl,Jnk1//Jnk1_18627-1_dgl_group.pkl,0.4415069392630553,6.681471680847538,6.239964741584482,9,1,9,Jnk1_18632-1,Jnk1_18627-1,6.239964962005615,6.14403760433197
2,2,0,Jnk1//Jnk1_18632-1_dgl_group.pkl,Jnk1//Jnk1_18659-1_dgl_group.pkl,-0.2869795105209851,6.681471680847538,6.968451191368523,9,2,9,Jnk1_18632-1,Jnk1_18659-1,6.968451023101807,7.034989386796951
3,3,0,Jnk1//Jnk1_18632-1_dgl_group.pkl,Jnk1//Jnk1_18624-1_dgl_group.pkl,0.4341484902753381,6.681471680847538,6.2473231905722,9,3,9,Jnk1_18632-1,Jnk1_18624-1,6.247323036193848,4.746015191078186
4,4,0,Jnk1//Jnk1_18632-1_dgl_group.pkl,Jnk1//Jnk1_18634-1_dgl_group.pkl,-0.6696188578822966,6.681471680847538,7.351090538729834,9,4,9,Jnk1_18632-1,Jnk1_18634-1,7.351090431213379,7.460358917713165
5,5,0,Jnk1//Jnk1_18632-1_dgl_group.pkl,Jnk1//Jnk1_18660-1_dgl_group.pkl,0.2796210615332688,6.681471680847538,6.401850619314269,9,5,9,Jnk1_18632-1,Jnk1_18660-1,6.401850700378418,7.314207673072815
6,6,0,Jnk1//Jnk1_18632-1_dgl_group.pkl,Jnk1//Jnk1_18635-1_dgl_group.pkl,1.317162368801443,6.681471680847538,5.364309312046094,9,6,9,Jnk1_18632-1,Jnk1_18635-1,5.364309310913086,5.751760125160217
7,7,0,Jnk1//Jnk1_18632-1_dgl_group.pkl,Jnk1//Jnk1_18626-1_dgl_group.pkl,0.1545274287420701,6.681471680847538,6.526944252105468,9,7,9,Jnk1_18632-1,Jnk1_18626-1,6.526944160461426,5.855621755123138
8,8,0,Jnk1//Jnk1_18632-1_dgl_group.pkl,Jnk1//Jnk1_18637-1_dgl_group.pkl,-0.77999559269806,6.681471680847538,7.461467273545598,9,8,9,Jnk1_18632-1,Jnk1_18637-1,7.461467266082764,6.290661454200745
9,9,0,Jnk1//Jnk1_18632-1_dgl_group.pkl,Jnk1//Jnk1_18632-1_dgl_group.pkl,0.0,6.681471680847538,6.681471680847538,9,9,9,Jnk1_18632-1,Jnk1_18632-1,6.681471824645996,6.761300846934319
10,10,0,Jnk1//Jnk1_18632-1_dgl_group.pkl,Jnk1//Jnk1_18631-1_dgl_group.pkl,-0.2428288165946783,6.681471680847538,6.924300497442216,9,10,10,Jnk1_18632-1,Jnk1_18631-1,6.924300670623779,6.013107001781464
11,11,0,Jnk1//Jnk1_18632-1_dgl_group.pkl,Jnk1//Jnk1_18639-1_dgl_group.pkl,-0.4856576331893576,6.681471680847538,7.167129314036895,9,11,11,Jnk1_18632-1,Jnk1_18639-1,7.1671295166015625,7.425475239753723
12,12,0,Jnk1//Jnk1_18632-1_dgl_group.pkl,Jnk1//Jnk1_18658-1_dgl_group.pkl,-0.4562238372384861,6.681471680847538,7.137695518086024,9,12,12,Jnk1_18632-1,Jnk1_18658-1,7.1376953125,6.572587266564369
13,13,0,Jnk1//Jnk1_18632-1_dgl_group.pkl,Jnk1//Jnk1_18638-1_dgl_group.pkl,-0.7432033477594713,6.681471680847538,7.424675028607009,9,13,13,Jnk1_18632-1,Jnk1_18638-1,7.424674987792969,7.830029726028442
14,14,0,Jnk1//Jnk1_18632-1_dgl_group.pkl,Jnk1//Jnk1_18633-1_dgl_group.pkl,-0.0662260408894566,6.681471680847538,6.747697721736994,9,14,14,Jnk1_18632-1,Jnk1_18633-1,6.747697830200195,6.646420314908028
15,15,0,Jnk1//Jnk1_18632-1_dgl_group.pkl,Jnk1//Jnk1_18630-1_dgl_group.pkl,-0.0441506939263058,6.681471680847538,6.725622374773844,9,15,15,Jnk1_18632-1,Jnk1_18630-1,6.725622177124023,5.168702483177185
16,16,0,Jnk1//Jnk1_18632-1_dgl_group.pkl,Jnk1//Jnk1_18652-1_dgl_group.pkl,-1.177351838034805,6.681471680847538,7.8588235188823425,9,16,16,Jnk1_18632-1,Jnk1_18652-1,7.858823299407959,7.319382190704346
17,17,0,Jnk1//Jnk1_18632-1_dgl_group.pkl,Jnk1//Jnk1_18636-1_dgl_group.pkl,1.1552764910716569,6.681471680847538,5.526195189775881,9,17,17,Jnk1_18632-1,Jnk1_18636-1,5.526195049285889,6.022562623023987
18,18,0,Jnk1//Jnk1_18632-1_dgl_group.pkl,Jnk1//Jnk1_18625-1_dgl_group.pkl,0.7137695518086051,6.681471680847538,5.9677021290389325,9,18,18,Jnk1_18632-1,Jnk1_18625-1,5.9677019119262695,5.919118583202362
19,19,0,Jnk1//Jnk1_18632-1_dgl_group.pkl,Jnk1//Jnk1_18628-1_dgl_group.pkl,0.2796210615332688,6.681471680847538,6.401850619314269,9,19,19,Jnk1_18632-1,Jnk1_18628-1,6.401850700378418,6.269457995891571
20,20,0,Jnk1//Jnk1_18632-1_dgl_group.pkl,Jnk1//Jnk1_17124-1_dgl_group.pkl,-0.4415069392630508,6.681471680847538,7.1229786201105885,9,20,20,Jnk1_18632-1,Jnk1_17124-1,7.122978687286377,7.467109441757202
21,21,1,Jnk1//Jnk1_18633-1_dgl_group.pkl,Jnk1//Jnk1_18629-1_dgl_group.pkl,0.3679224493858779,6.747697721736994,6.379775272351116,14,0,14,Jnk1_18633-1,Jnk1_18629-1,6.379775047302246,6.6187732219696045
22,22,1,Jnk1//Jnk1_18633-1_dgl_group.pkl,Jnk1//Jnk1_18627-1_dgl_group.pkl,0.5077329801525119,6.747697721736994,6.239964741584482,14,1,14,Jnk1_18633-1,Jnk1_18627-1,6.239964962005615,6.254139006137848
23,23,1,Jnk1//Jnk1_18633-1_dgl_group.pkl,Jnk1//Jnk1_18659-1_dgl_group.pkl,-0.2207534696315285,6.747697721736994,6.968451191368523,14,2,14,Jnk1_18633-1,Jnk1_18659-1,6.968451023101807,7.155406832695007
24,24,1,Jnk1//Jnk1_18633-1_dgl_group.pkl,Jnk1//Jnk1_18624-1_dgl_group.pkl,0.5003745311647947,6.747697721736994,6.2473231905722,14,3,14,Jnk1_18633-1,Jnk1_18624-1,6.247323036193848,4.920765995979309
25,25,1,Jnk1//Jnk1_18633-1_dgl_group.pkl,Jnk1//Jnk1_18634-1_dgl_group.pkl,-0.60339281699284,6.747697721736994,7.351090538729834,14,4,14,Jnk1_18633-1,Jnk1_18634-1,7.351090431213379,7.615615129470825
26,26,1,Jnk1//Jnk1_18633-1_dgl_group.pkl,Jnk1//Jnk1_18660-1_dgl_group.pkl,0.3458471024227254,6.747697721736994,6.401850619314269,14,5,14,Jnk1_18633-1,Jnk1_18660-1,6.401850700378418,7.412633180618286
27,27,1,Jnk1//Jnk1_18633-1_dgl_group.pkl,Jnk1//Jnk1_18635-1_dgl_group.pkl,1.3833884096909,6.747697721736994,5.364309312046094,14,6,14,Jnk1_18633-1,Jnk1_18635-1,5.364309310913086,5.815847635269165
28,28,1,Jnk1//Jnk1_18633-1_dgl_group.pkl,Jnk1//Jnk1_18626-1_dgl_group.pkl,0.2207534696315267,6.747697721736994,6.526944252105468,14,7,14,Jnk1_18633-1,Jnk1_18626-1,6.526944160461426,6.019175052642822
29,29,1,Jnk1//Jnk1_18633-1_dgl_group.pkl,Jnk1//Jnk1_18637-1_dgl_group.pkl,-0.7137695518086034,6.747697721736994,7.461467273545598,14,8,14,Jnk1_18633-1,Jnk1_18637-1,7.461467266082764,6.3781121373176575
30,30,1,Jnk1//Jnk1_18633-1_dgl_group.pkl,Jnk1//Jnk1_18632-1_dgl_group.pkl,0.0662260408894566,6.747697721736994,6.681471680847538,14,9,14,Jnk1_18633-1,Jnk1_18632-1,6.681471824645996,6.899458736181259
