,Unnamed: 0,reference_num,Ligand1,Ligand2,Lable,Lable1,Lable2,Rank1,Rank2,Rank,Ligand1_num,Ligand2_num,abs_label_p,abs_predict_p
0,0,0,MCL1//MCL1_31_dgl_group.pkl,MCL1//MCL1_29_dgl_group.pkl,0.721128000796317,5.8278915982722985,5.1067635974759815,37,0,37,MCL1_31,MCL1_29,5.1067633628845215,5.265003144741058
1,1,0,MCL1//MCL1_31_dgl_group.pkl,MCL1//MCL1_61_dgl_group.pkl,-0.1177351838034832,5.8278915982722985,5.945626782075782,37,1,37,MCL1_31,MCL1_61,5.945626735687256,6.327608048915863
2,2,0,MCL1//MCL1_31_dgl_group.pkl,MCL1//MCL1_45_dgl_group.pkl,-0.7579202457349083,5.8278915982722985,6.585811844007207,37,2,37,MCL1_31,MCL1_45,6.585811614990234,6.293228626251221
3,3,0,MCL1//MCL1_31_dgl_group.pkl,MCL1//MCL1_41_dgl_group.pkl,0.5813174700296857,5.8278915982722985,5.246574128242613,37,3,37,MCL1_31,MCL1_41,5.246573925018311,5.925439722836018
4,4,0,MCL1//MCL1_31_dgl_group.pkl,MCL1//MCL1_43_dgl_group.pkl,0.6549019599068595,5.8278915982722985,5.172989638365439,37,4,37,MCL1_31,MCL1_43,5.172989845275879,6.637573421001434
5,5,0,MCL1//MCL1_31_dgl_group.pkl,MCL1//MCL1_68_dgl_group.pkl,0.169244326717501,5.8278915982722985,5.6586472715547975,37,5,37,MCL1_31,MCL1_68,5.658647060394287,6.917867183685303
6,6,0,MCL1//MCL1_31_dgl_group.pkl,MCL1//MCL1_52_dgl_group.pkl,-0.9639568173909998,5.8278915982722985,6.791848415663298,37,6,37,MCL1_31,MCL1_52,6.791848182678223,7.687523365020752
7,7,0,MCL1//MCL1_31_dgl_group.pkl,MCL1//MCL1_63_dgl_group.pkl,-0.8388631845998029,5.8278915982722985,6.666754782872101,37,7,37,MCL1_31,MCL1_63,6.666754722595215,7.509315848350525
8,8,0,MCL1//MCL1_31_dgl_group.pkl,MCL1//MCL1_32_dgl_group.pkl,0.9860321643541504,5.8278915982722985,4.841859433918148,37,8,37,MCL1_31,MCL1_32,4.841859340667725,4.717507123947144
9,9,0,MCL1//MCL1_31_dgl_group.pkl,MCL1//MCL1_65_dgl_group.pkl,-0.3605640003981625,5.8278915982722985,6.188455598670461,37,9,37,MCL1_31,MCL1_65,6.188455581665039,7.33407723903656
10,10,0,MCL1//MCL1_31_dgl_group.pkl,MCL1//MCL1_58_dgl_group.pkl,-1.0964088991699177,5.8278915982722985,6.924300497442216,37,10,37,MCL1_31,MCL1_58,6.924300670623779,7.268956899642944
11,11,0,MCL1//MCL1_31_dgl_group.pkl,MCL1//MCL1_27_dgl_group.pkl,1.324520817789157,5.8278915982722985,4.5033707804831415,37,11,37,MCL1_31,MCL1_27,4.503370761871338,4.438106298446655
12,12,0,MCL1//MCL1_31_dgl_group.pkl,MCL1//MCL1_36_dgl_group.pkl,-0.1913196736806579,5.8278915982722985,6.0192112719529565,37,12,37,MCL1_31,MCL1_36,6.019211292266846,6.7335227727890015
13,13,0,MCL1//MCL1_31_dgl_group.pkl,MCL1//MCL1_66_dgl_group.pkl,-0.3752808983735951,5.8278915982722985,6.203172496645894,37,13,37,MCL1_31,MCL1_66,6.20317268371582,6.207537591457367
14,14,0,MCL1//MCL1_31_dgl_group.pkl,MCL1//MCL1_23_dgl_group.pkl,-0.6696188578822992,5.8278915982722985,6.497510456154598,37,14,37,MCL1_31,MCL1_23,6.4975104331970215,5.80292734503746
15,15,0,MCL1//MCL1_31_dgl_group.pkl,MCL1//MCL1_38_dgl_group.pkl,0.6622604088945767,5.8278915982722985,5.165631189377722,37,15,37,MCL1_31,MCL1_38,5.165631294250488,5.926156878471375
16,16,0,MCL1//MCL1_31_dgl_group.pkl,MCL1//MCL1_56_dgl_group.pkl,-0.986032164354154,5.8278915982722985,6.813923762626453,37,16,37,MCL1_31,MCL1_56,6.8139238357543945,6.960005044937134
