,Unnamed: 0,reference_num,Ligand1,Ligand2,Lable,Lable1,Lable2,Rank1,Rank2,Rank,Ligand1_num,Ligand2_num,abs_label_p,abs_predict_p
0,0,0,Thrombin//Thrombin_3b_dgl_group.pkl,Thrombin//Thrombin_6a_dgl_group.pkl,-0.971315266378716,5.783740904345995,6.755056170724711,2,0,2,Thrombin_3b,Thrombin_6a,6.755056381225586,6.192776083946228
1,1,0,Thrombin//Thrombin_3b_dgl_group.pkl,Thrombin//Thrombin_1a_dgl_group.pkl,0.2796210615332661,5.783740904345995,5.504119842812729,2,1,2,Thrombin_3b,Thrombin_1a,5.504119873046875,5.4225006103515625
2,2,0,Thrombin//Thrombin_3b_dgl_group.pkl,Thrombin//Thrombin_3b_dgl_group.pkl,0.0,5.783740904345995,5.783740904345995,2,2,2,Thrombin_3b,Thrombin_3b,5.783740997314453,5.863412782549858
3,3,0,Thrombin//Thrombin_3b_dgl_group.pkl,Thrombin//Thrombin_6b_dgl_group.pkl,-0.7579202457349075,5.783740904345995,6.541661150080903,2,3,3,Thrombin_3b,Thrombin_6b,6.541661262512207,6.296863675117493
4,4,0,Thrombin//Thrombin_3b_dgl_group.pkl,Thrombin//Thrombin_5_dgl_group.pkl,0.2060365716560923,5.783740904345995,5.577704332689903,2,4,4,Thrombin_3b,Thrombin_5,5.577704429626465,4.656801581382752
5,5,0,Thrombin//Thrombin_3b_dgl_group.pkl,Thrombin//Thrombin_1c_dgl_group.pkl,-0.5150914291402282,5.783740904345995,6.298832333486224,2,5,5,Thrombin_3b,Thrombin_1c,6.298832416534424,6.008006185293198
6,6,0,Thrombin//Thrombin_3b_dgl_group.pkl,Thrombin//Thrombin_6e_dgl_group.pkl,-0.7726371437103428,5.783740904345995,6.556378048056338,2,6,6,Thrombin_3b,Thrombin_6e,6.55637788772583,6.158805787563324
7,7,0,Thrombin//Thrombin_3b_dgl_group.pkl,Thrombin//Thrombin_7a_dgl_group.pkl,-0.2649041635578317,5.783740904345995,6.048645067903827,2,7,7,Thrombin_3b,Thrombin_7a,6.04864501953125,6.036871671676636
8,8,0,Thrombin//Thrombin_3b_dgl_group.pkl,Thrombin//Thrombin_1b_dgl_group.pkl,-0.4415069392630544,5.783740904345995,6.22524784360905,2,8,8,Thrombin_3b,Thrombin_1b,6.225247859954834,5.661093562841415
9,9,0,Thrombin//Thrombin_3b_dgl_group.pkl,Thrombin//Thrombin_1d_dgl_group.pkl,-0.2869795105209851,5.783740904345995,6.07072041486698,2,9,9,Thrombin_3b,Thrombin_1d,6.070720195770264,5.712250545620918
10,10,0,Thrombin//Thrombin_3b_dgl_group.pkl,Thrombin//Thrombin_3a_dgl_group.pkl,-0.3384886534350073,5.783740904345995,6.122229557781003,2,10,10,Thrombin_3b,Thrombin_3a,6.12222957611084,6.254997253417969
11,11,1,Thrombin//Thrombin_6b_dgl_group.pkl,Thrombin//Thrombin_6a_dgl_group.pkl,-0.2133950206438086,6.541661150080903,6.755056170724711,3,0,3,Thrombin_6b,Thrombin_6a,6.755056381225586,6.509586229920387
12,12,1,Thrombin//Thrombin_6b_dgl_group.pkl,Thrombin//Thrombin_1a_dgl_group.pkl,1.0375413072681736,6.541661150080903,5.504119842812729,3,1,3,Thrombin_6b,Thrombin_1a,5.504119873046875,5.288351774215698
13,13,1,Thrombin//Thrombin_6b_dgl_group.pkl,Thrombin//Thrombin_3b_dgl_group.pkl,0.7579202457349075,6.541661150080903,5.783740904345995,3,2,3,Thrombin_6b,Thrombin_3b,5.783740997314453,6.097727656364441
14,14,1,Thrombin//Thrombin_6b_dgl_group.pkl,Thrombin//Thrombin_6b_dgl_group.pkl,0.0,6.541661150080903,6.541661150080903,3,3,3,Thrombin_6b,Thrombin_6b,6.541661262512207,6.621487140655518
15,15,1,Thrombin//Thrombin_6b_dgl_group.pkl,Thrombin//Thrombin_5_dgl_group.pkl,0.9639568173909998,6.541661150080903,5.577704332689903,3,4,4,Thrombin_6b,Thrombin_5,5.577704429626465,5.386807918548584
16,16,1,Thrombin//Thrombin_6b_dgl_group.pkl,Thrombin//Thrombin_1c_dgl_group.pkl,0.2428288165946792,6.541661150080903,6.298832333486224,3,5,5,Thrombin_6b,Thrombin_1c,6.298832416534424,6.32372473180294
17,17,1,Thrombin//Thrombin_6b_dgl_group.pkl,Thrombin//Thrombin_6e_dgl_group.pkl,-0.0147168979754352,6.541661150080903,6.556378048056338,3,6,6,Thrombin_6b,Thrombin_6e,6.55637788772583,6.41386204957962
18,18,1,Thrombin//Thrombin_6b_dgl_group.pkl,Thrombin//Thrombin_7a_dgl_group.pkl,0.4930160821770757,6.541661150080903,6.048645067903827,3,7,7,Thrombin_6b,Thrombin_7a,6.04864501953125,6.149436235427856
