,Unnamed: 0,reference_num,Ligand1,Ligand2,Lable,Lable1,Lable2,Rank1,Rank2,Rank,Ligand1_num,Ligand2_num,abs_label_p,abs_predict_p
0,0,0,cmet//lig_cmet_CHEMBL3402764_90_dgl_group.pkl,cmet//lig_cmet_CHEMBL3402756_2_dgl_group.pkl,-1.5200000000000005,7.05,8.57,3,0,3,lig_cmet_CHEMBL3402764_90,lig_cmet_CHEMBL3402756_2.7,8.569999694824219,8.025459885597229
1,1,0,cmet//lig_cmet_CHEMBL3402764_90_dgl_group.pkl,cmet//lig_cmet_CHEMBL3402743_42_dgl_group.pkl,-0.33,7.05,7.38,3,1,3,lig_cmet_CHEMBL3402764_90,lig_cmet_CHEMBL3402743_42,7.380000114440918,7.808636367321014
2,2,0,cmet//lig_cmet_CHEMBL3402764_90_dgl_group.pkl,cmet//lig_cmet_CHEMBL3402748_5300_dgl_group.pkl,1.7699999999999996,7.05,5.28,3,2,3,lig_cmet_CHEMBL3402764_90,lig_cmet_CHEMBL3402748_5300,5.28000020980835,7.424220442771912
3,3,0,cmet//lig_cmet_CHEMBL3402764_90_dgl_group.pkl,cmet//lig_cmet_CHEMBL3402764_90_dgl_group.pkl,0.0,7.05,7.05,3,3,3,lig_cmet_CHEMBL3402764_90,lig_cmet_CHEMBL3402764_90,7.050000190734863,7.129700623452663
4,4,0,cmet//lig_cmet_CHEMBL3402764_90_dgl_group.pkl,cmet//lig_cmet_CHEMBL3402750_400_dgl_group.pkl,0.6499999999999995,7.05,6.4,3,4,4,lig_cmet_CHEMBL3402764_90,lig_cmet_CHEMBL3402750_400,6.400000095367432,7.384029269218445
5,5,0,cmet//lig_cmet_CHEMBL3402764_90_dgl_group.pkl,cmet//lig_cmet_CHEMBL3402753_200_dgl_group.pkl,0.3499999999999996,7.05,6.7,3,5,5,lig_cmet_CHEMBL3402764_90,lig_cmet_CHEMBL3402753_200,6.699999809265137,7.636859655380249
6,6,0,cmet//lig_cmet_CHEMBL3402764_90_dgl_group.pkl,cmet//lig_cmet_CHEMBL3402749_500_dgl_group.pkl,0.75,7.05,6.3,3,6,6,lig_cmet_CHEMBL3402764_90,lig_cmet_CHEMBL3402749_500,6.300000190734863,7.418395161628723
7,7,0,cmet//lig_cmet_CHEMBL3402764_90_dgl_group.pkl,cmet//lig_cmet_CHEMBL3402765_11-charged-pKa-8_dgl_group.pkl,-0.91,7.05,7.96,3,7,7,lig_cmet_CHEMBL3402764_90,lig_cmet_CHEMBL3402765_11-charged-pKa-8.1,7.960000038146973,8.826894998550415
8,8,0,cmet//lig_cmet_CHEMBL3402764_90_dgl_group.pkl,cmet//lig_cmet_CHEMBL3402757_6_dgl_group.pkl,-1.1399999999999997,7.05,8.19,3,8,8,lig_cmet_CHEMBL3402764_90,lig_cmet_CHEMBL3402757_6.5,8.1899995803833,8.220077633857727
9,9,0,cmet//lig_cmet_CHEMBL3402764_90_dgl_group.pkl,cmet//lig_cmet_CHEMBL3402759_5_dgl_group.pkl,-1.1900000000000004,7.05,8.24,3,9,9,lig_cmet_CHEMBL3402764_90,lig_cmet_CHEMBL3402759_5.7,8.239999771118164,8.151342988014221
10,10,0,cmet//lig_cmet_CHEMBL3402764_90_dgl_group.pkl,cmet//lig_cmet_CHEMBL3402755_4200_dgl_group.pkl,1.67,7.05,5.38,3,10,10,lig_cmet_CHEMBL3402764_90,lig_cmet_CHEMBL3402755_4200,5.380000114440918,7.560367703437805
11,11,0,cmet//lig_cmet_CHEMBL3402764_90_dgl_group.pkl,cmet//lig_cmet_CHEMBL3402761_1_dgl_group.pkl,-1.95,7.05,9.0,3,11,11,lig_cmet_CHEMBL3402764_90,lig_cmet_CHEMBL3402761_1,9.0,8.167510986328125
12,12,0,cmet//lig_cmet_CHEMBL3402764_90_dgl_group.pkl,cmet//lig_cmet_CHEMBL3402745_200_dgl_group.pkl,0.3499999999999996,7.05,6.7,3,12,12,lig_cmet_CHEMBL3402764_90,lig_cmet_CHEMBL3402745_200,6.699999809265137,7.5865689516067505
13,13,0,cmet//lig_cmet_CHEMBL3402764_90_dgl_group.pkl,cmet//lig_cmet_CHEMBL3402763_90_dgl_group.pkl,0.0,7.05,7.05,3,13,13,lig_cmet_CHEMBL3402764_90,lig_cmet_CHEMBL3402763_90,7.050000190734863,9.06706428527832
