,Unnamed: 0,reference_num,Ligand1,Ligand2,Lable,Lable1,Lable2,Rank1,Rank2,Rank,Ligand1_num,Ligand2_num,abs_label_p,abs_predict_p
0,0,0,eg5//lig_eg5_CHEMBL1078774_dgl_group.pkl,eg5//lig_eg5_CHEMBL1093088_dgl_group.pkl,-0.450000000000001,7.77,8.22,17,0,17,lig_eg5_CHEMBL1078774,lig_eg5_CHEMBL1093088,8.220000267028809,7.856911860406399
1,1,0,eg5//lig_eg5_CHEMBL1078774_dgl_group.pkl,eg5//lig_eg5_CHEMBL1089393_dgl_group.pkl,1.63,7.77,6.14,17,1,17,lig_eg5_CHEMBL1078774,lig_eg5_CHEMBL1089393,6.139999866485596,6.776467680931091
2,2,0,eg5//lig_eg5_CHEMBL1078774_dgl_group.pkl,eg5//lig_eg5_CHEMBL1088740_dgl_group.pkl,1.3899999999999997,7.77,6.38,17,2,17,lig_eg5_CHEMBL1078774,lig_eg5_CHEMBL1088740,6.380000114440918,6.780670523643494
3,3,0,eg5//lig_eg5_CHEMBL1078774_dgl_group.pkl,eg5//lig_eg5_CHEMBL1084115_dgl_group.pkl,0.8499999999999996,7.77,6.92,17,3,17,lig_eg5_CHEMBL1078774,lig_eg5_CHEMBL1084115,6.920000076293945,6.84965980052948
4,4,0,eg5//lig_eg5_CHEMBL1078774_dgl_group.pkl,eg5//lig_eg5_CHEMBL1078691_dgl_group.pkl,0.2999999999999998,7.77,7.47,17,4,17,lig_eg5_CHEMBL1078774,lig_eg5_CHEMBL1078691,7.46999979019165,7.744350552558899
5,5,0,eg5//lig_eg5_CHEMBL1078774_dgl_group.pkl,eg5//lig_eg5_CHEMBL1096002_dgl_group.pkl,-0.3800000000000008,7.77,8.15,17,5,17,lig_eg5_CHEMBL1078774,lig_eg5_CHEMBL1096002,8.149999618530273,8.18896871805191
6,6,0,eg5//lig_eg5_CHEMBL1078774_dgl_group.pkl,eg5//lig_eg5_CHEMBL1082248_dgl_group.pkl,-0.75,7.77,8.52,17,6,17,lig_eg5_CHEMBL1078774,lig_eg5_CHEMBL1082248,8.520000457763672,8.439797341823578
7,7,0,eg5//lig_eg5_CHEMBL1078774_dgl_group.pkl,eg5//lig_eg5_CHEMBL1084678_dgl_group.pkl,-0.3800000000000008,7.77,8.15,17,7,17,lig_eg5_CHEMBL1078774,lig_eg5_CHEMBL1084678,8.149999618530273,8.314072370529175
8,8,0,eg5//lig_eg5_CHEMBL1078774_dgl_group.pkl,eg5//lig_eg5_CHEMBL1086410_dgl_group.pkl,-0.6300000000000008,7.77,8.4,17,8,17,lig_eg5_CHEMBL1078774,lig_eg5_CHEMBL1086410,8.399999618530273,8.075861871242523
9,9,0,eg5//lig_eg5_CHEMBL1078774_dgl_group.pkl,eg5//lig_eg5_CHEMBL1085666_dgl_group.pkl,0.0699999999999994,7.77,7.7,17,9,17,lig_eg5_CHEMBL1078774,lig_eg5_CHEMBL1085666,7.699999809265137,7.673519626259804
10,10,0,eg5//lig_eg5_CHEMBL1078774_dgl_group.pkl,eg5//lig_eg5_CHEMBL1096003_dgl_group.pkl,-0.9299999999999996,7.77,8.7,17,10,17,lig_eg5_CHEMBL1078774,lig_eg5_CHEMBL1096003,8.699999809265137,8.330588102340698
11,11,0,eg5//lig_eg5_CHEMBL1078774_dgl_group.pkl,eg5//lig_eg5_CHEMBL1086409_dgl_group.pkl,0.5299999999999994,7.77,7.24,17,11,17,lig_eg5_CHEMBL1078774,lig_eg5_CHEMBL1086409,7.239999771118164,7.876571506261826
12,12,0,eg5//lig_eg5_CHEMBL1078774_dgl_group.pkl,eg5//lig_eg5_CHEMBL1093087_dgl_group.pkl,0.0499999999999998,7.77,7.72,17,12,17,lig_eg5_CHEMBL1078774,lig_eg5_CHEMBL1093087,7.71999979019165,7.486644566059112
