,Unnamed: 0,reference_num,Ligand1,Ligand2,Lable,Lable1,Lable2,Rank1,Rank2,Rank,Ligand1_num,Ligand2_num,abs_label_p,abs_predict_p
0,0,0,hif2a//lig_hif2a_67_dgl_group.pkl,hif2a//lig_hif2a_234_dgl_group.pkl,-0.1299999999999999,7.46,7.59,7,0,7,lig_hif2a_67,lig_hif2a_234,7.590000152587891,7.638231247663498
1,1,0,hif2a//lig_hif2a_67_dgl_group.pkl,hif2a//lig_hif2a_227_dgl_group.pkl,-0.4299999999999997,7.46,7.89,7,1,7,lig_hif2a_67,lig_hif2a_227,7.889999866485596,8.033013045787811
2,2,0,hif2a//lig_hif2a_67_dgl_group.pkl,hif2a//lig_hif2a_61_dgl_group.pkl,0.0499999999999998,7.46,7.41,7,2,7,lig_hif2a_67,lig_hif2a_61,7.409999847412109,7.9519582986831665
3,3,0,hif2a//lig_hif2a_67_dgl_group.pkl,hif2a//lig_hif2a_165_dgl_group.pkl,0.6900000000000004,7.46,6.77,7,3,7,lig_hif2a_67,lig_hif2a_165,6.769999980926514,7.766780823469162
4,4,0,hif2a//lig_hif2a_67_dgl_group.pkl,hif2a//lig_hif2a_57_dgl_group.pkl,-0.3600000000000003,7.46,7.82,7,4,7,lig_hif2a_67,lig_hif2a_57,7.820000171661377,7.811603724956512
5,5,0,hif2a//lig_hif2a_67_dgl_group.pkl,hif2a//lig_hif2a_31_dgl_group.pkl,0.9799999999999996,7.46,6.48,7,5,7,lig_hif2a_67,lig_hif2a_31,6.480000019073486,6.996922969818115
6,6,0,hif2a//lig_hif2a_67_dgl_group.pkl,hif2a//lig_hif2a_237_dgl_group.pkl,0.4599999999999999,7.46,7.0,7,6,7,lig_hif2a_67,lig_hif2a_237,7.0,8.448651432991028
7,7,0,hif2a//lig_hif2a_67_dgl_group.pkl,hif2a//lig_hif2a_67_dgl_group.pkl,0.0,7.46,7.46,7,7,7,lig_hif2a_67,lig_hif2a_67,7.460000038146973,7.539741039276123
8,8,0,hif2a//lig_hif2a_67_dgl_group.pkl,hif2a//lig_hif2a_43_dgl_group.pkl,1.08,7.46,6.38,7,8,8,lig_hif2a_67,lig_hif2a_43,6.380000114440918,7.351128250360489
9,9,0,hif2a//lig_hif2a_67_dgl_group.pkl,hif2a//lig_hif2a_163_dgl_group.pkl,-0.6100000000000003,7.46,8.07,7,9,9,lig_hif2a_67,lig_hif2a_163,8.069999694824219,7.839334189891815
10,10,0,hif2a//lig_hif2a_67_dgl_group.pkl,hif2a//lig_hif2a_25_dgl_group.pkl,-0.08,7.46,7.54,7,10,10,lig_hif2a_67,lig_hif2a_25,7.539999961853027,8.617031693458557
11,11,0,hif2a//lig_hif2a_67_dgl_group.pkl,hif2a//lig_hif2a_256_dgl_group.pkl,-0.3600000000000003,7.46,7.82,7,11,11,lig_hif2a_67,lig_hif2a_256,7.820000171661377,8.120214939117432
12,12,0,hif2a//lig_hif2a_67_dgl_group.pkl,hif2a//lig_hif2a_30_dgl_group.pkl,-0.2800000000000002,7.46,7.74,7,12,12,lig_hif2a_67,lig_hif2a_30,7.739999771118164,7.615434527397156
13,13,0,hif2a//lig_hif2a_67_dgl_group.pkl,hif2a//lig_hif2a_215_dgl_group.pkl,-0.3099999999999996,7.46,7.77,7,13,13,lig_hif2a_67,lig_hif2a_215,7.769999980926514,8.31683099269867
14,14,0,hif2a//lig_hif2a_67_dgl_group.pkl,hif2a//lig_hif2a_35_dgl_group.pkl,2.22,7.46,5.24,7,14,14,lig_hif2a_67,lig_hif2a_35,5.239999771118164,7.410895422101021
15,15,0,hif2a//lig_hif2a_67_dgl_group.pkl,hif2a//lig_hif2a_155_dgl_group.pkl,-0.2400000000000002,7.46,7.7,7,15,15,lig_hif2a_67,lig_hif2a_155,7.699999809265137,7.545425623655319
16,16,0,hif2a//lig_hif2a_67_dgl_group.pkl,hif2a//lig_hif2a_42_dgl_group.pkl,0.91,7.46,6.55,7,16,16,lig_hif2a_67,lig_hif2a_42,6.550000190734863,7.954284906387329
17,17,0,hif2a//lig_hif2a_67_dgl_group.pkl,hif2a//lig_hif2a_164_dgl_group.pkl,2.5,7.46,4.96,7,17,17,lig_hif2a_67,lig_hif2a_164,4.960000038146973,7.580242455005646
18,18,0,hif2a//lig_hif2a_67_dgl_group.pkl,hif2a//lig_hif2a_266_dgl_group.pkl,-0.2599999999999998,7.46,7.72,7,18,18,lig_hif2a_67,lig_hif2a_266,7.71999979019165,8.612446904182434
19,19,0,hif2a//lig_hif2a_67_dgl_group.pkl,hif2a//lig_hif2a_254_dgl_group.pkl,0.4599999999999999,7.46,7.0,7,19,19,lig_hif2a_67,lig_hif2a_254,7.0,7.578093089163303
20,20,0,hif2a//lig_hif2a_67_dgl_group.pkl,hif2a//lig_hif2a_231_dgl_group.pkl,0.1100000000000003,7.46,7.35,7,20,20,lig_hif2a_67,lig_hif2a_231,7.349999904632568,7.639717727899551
21,21,0,hif2a//lig_hif2a_67_dgl_group.pkl,hif2a//lig_hif2a_15_dgl_group.pkl,-0.6399999999999997,7.46,8.1,7,21,21,lig_hif2a_67,lig_hif2a_15,8.100000381469727,8.412807643413544
