,Unnamed: 0,reference_num,Ligand1,Ligand2,Lable,Lable1,Lable2,Rank1,Rank2,Rank,Ligand1_num,Ligand2_num,abs_label_p,abs_predict_p
0,0,0,p38//p38_p38a_2e_dgl_group.pkl,p38//p38_p38a_2p_dgl_group.pkl,-0.3679224493858788,7.873540416857778,8.241462866243657,8,0,8,p38_p38a_2e,p38_p38a_2p,8.241462707519531,9.164855480194092
1,1,0,p38//p38_p38a_2e_dgl_group.pkl,p38//p38_p38a_2g_dgl_group.pkl,0.0294337959508679,7.873540416857778,7.84410662090691,8,1,8,p38_p38a_2e,p38_p38a_2g,7.844106674194336,7.099106907844544
2,2,0,p38//p38_p38a_2e_dgl_group.pkl,p38//p38_p38a_2h_dgl_group.pkl,0.8977307765015397,7.873540416857778,6.975809640356238,8,2,8,p38_p38a_2e,p38_p38a_2h,6.975809574127197,7.941349074244499
3,3,0,p38//p38_p38a_2e_dgl_group.pkl,p38//p38_p38a_2i_dgl_group.pkl,0.4782991842016386,7.873540416857778,7.395241232656139,8,3,8,p38_p38a_2e,p38_p38a_2i,7.395241260528564,7.917689170688391
4,4,0,p38//p38_p38a_2e_dgl_group.pkl,p38//p38_p38a_2bb_dgl_group.pkl,1.2067856339856764,7.873540416857778,6.666754782872101,8,4,8,p38_p38a_2e,p38_p38a_2bb,6.666754722595215,7.79005916416645
5,5,0,p38//p38_p38a_2e_dgl_group.pkl,p38//p38_p38a_3fmk_dgl_group.pkl,-0.8315047356120848,7.873540416857778,8.705045152469863,8,5,8,p38_p38a_2e,p38_p38a_3fmk,8.705044746398926,8.174429476261139
6,6,0,p38//p38_p38a_2e_dgl_group.pkl,p38//p38_p38a_3fmh_dgl_group.pkl,-0.0956598368403289,7.873540416857778,7.969200253698107,8,6,8,p38_p38a_2e,p38_p38a_3fmh,7.969200134277344,7.704123988747597
7,7,0,p38//p38_p38a_2e_dgl_group.pkl,p38//p38_p38a_2gg_dgl_group.pkl,0.0294337959508679,7.873540416857778,7.84410662090691,8,7,8,p38_p38a_2e,p38_p38a_2gg,7.844106674194336,8.479972958564758
8,8,0,p38//p38_p38a_2e_dgl_group.pkl,p38//p38_p38a_2e_dgl_group.pkl,0.0,7.873540416857778,7.873540416857778,8,8,8,p38_p38a_2e,p38_p38a_2e,7.87354040145874,7.953274011611938
9,9,0,p38//p38_p38a_2e_dgl_group.pkl,p38//p38_p38a_2ff_dgl_group.pkl,-0.5445252250911006,7.873540416857778,8.418065641948878,8,9,9,p38_p38a_2e,p38_p38a_2ff,8.418066024780273,8.621013939380646
10,10,0,p38//p38_p38a_2e_dgl_group.pkl,p38//p38_p38a_3fly_dgl_group.pkl,-0.5298083271156644,7.873540416857778,8.403348743973442,8,10,10,p38_p38a_2e,p38_p38a_3fly,8.403348922729492,8.031726270914078
11,11,0,p38//p38_p38a_2e_dgl_group.pkl,p38//p38_p38a_2ee_dgl_group.pkl,-1.1479180420839397,7.873540416857778,9.021458458941716,8,11,11,p38_p38a_2e,p38_p38a_2ee,9.021458625793455,8.176900267601013
12,12,0,p38//p38_p38a_2e_dgl_group.pkl,p38//p38_p38a_2v_dgl_group.pkl,1.273011674875134,7.873540416857778,6.600528741982644,8,12,12,p38_p38a_2e,p38_p38a_2v,6.600528717041016,6.938190579414368
13,13,0,p38//p38_p38a_2e_dgl_group.pkl,p38//p38_p38a_2m_dgl_group.pkl,-0.1913196736806588,7.873540416857778,8.064860090538437,8,13,13,p38_p38a_2e,p38_p38a_2m,8.064860343933105,8.300773203372955
14,14,0,p38//p38_p38a_2e_dgl_group.pkl,p38//p38_p38a_2n_dgl_group.pkl,-0.846221633587521,7.873540416857778,8.719762050445299,8,14,14,p38_p38a_2e,p38_p38a_2n,8.719761848449707,8.535675525665283
15,15,0,p38//p38_p38a_2e_dgl_group.pkl,p38//p38_p38a_2l_dgl_group.pkl,-1.1479180420839397,7.873540416857778,9.021458458941716,8,15,15,p38_p38a_2e,p38_p38a_2l,9.021458625793455,8.379442930221558
16,16,0,p38//p38_p38a_2e_dgl_group.pkl,p38//p38_p38a_2y_dgl_group.pkl,0.6769773068700147,7.873540416857778,7.196563109987763,8,16,16,p38_p38a_2e,p38_p38a_2y,7.196563243865967,7.481643676757812
17,17,0,p38//p38_p38a_2e_dgl_group.pkl,p38//p38_p38a_3flq_dgl_group.pkl,0.5666005720542504,7.873540416857778,7.306939844803527,8,17,17,p38_p38a_2e,p38_p38a_3flq,7.306940078735352,8.144329518079758
18,18,0,p38//p38_p38a_2e_dgl_group.pkl,p38//p38_p38a_2r_dgl_group.pkl,-0.0662260408894583,7.873540416857778,7.939766457747236,8,18,18,p38_p38a_2e,p38_p38a_2r,7.9397664070129395,8.24069494009018
19,19,0,p38//p38_p38a_2e_dgl_group.pkl,p38//p38_p38a_2aa_dgl_group.pkl,1.052258205243608,7.873540416857778,6.82128221161417,8,19,19,p38_p38a_2e,p38_p38a_2aa,6.821282386779785,8.085821896791458
20,20,0,p38//p38_p38a_2e_dgl_group.pkl,p38//p38_p38a_2q_dgl_group.pkl,-1.1479180420839397,7.873540416857778,9.021458458941716,8,20,20,p38_p38a_2e,p38_p38a_2q,9.021458625793455,8.724866151809692
21,21,0,p38//p38_p38a_2e_dgl_group.pkl,p38//p38_p38a_3flw_dgl_group.pkl,0.0147168979754352,7.873540416857778,7.8588235188823425,8,21,21,p38_p38a_2e,p38_p38a_3flw,7.858823299407959,8.74625813961029
22,22,0,p38//p38_p38a_2e_dgl_group.pkl,p38//p38_p38a_2c_dgl_group.pkl,0.1766027757052182,7.873540416857778,7.69693764115256,8,22,22,p38_p38a_2e,p38_p38a_2c,7.696937561035156,7.19599175453186
23,23,0,p38//p38_p38a_2e_dgl_group.pkl,p38//p38_p38a_2x_dgl_group.pkl,0.3458471024227227,7.873540416857778,7.527693314435055,8,23,23,p38_p38a_2e,p38_p38a_2x,7.527693271636963,7.630530491471291
24,24,0,p38//p38_p38a_2e_dgl_group.pkl,p38//p38_p38a_2t_dgl_group.pkl,-0.846221633587521,7.873540416857778,8.719762050445299,8,24,24,p38_p38a_2e,p38_p38a_2t,8.719761848449707,8.167999416589737
25,25,0,p38//p38_p38a_2e_dgl_group.pkl,p38//p38_p38a_2u_dgl_group.pkl,-1.1479180420839397,7.873540416857778,9.021458458941716,8,25,25,p38_p38a_2e,p38_p38a_2u,9.021458625793455,9.282544016838074
26,26,0,p38//p38_p38a_2e_dgl_group.pkl,p38//p38_p38a_2o_dgl_group.pkl,0.1545274287420666,7.873540416857778,7.719012988115711,8,26,26,p38_p38a_2e,p38_p38a_2o,7.719013214111328,8.685729444026947
27,27,0,p38//p38_p38a_2e_dgl_group.pkl,p38//p38_p38a_2s_dgl_group.pkl,-0.3016964084964231,7.873540416857778,8.175236825354201,8,27,27,p38_p38a_2e,p38_p38a_2s,8.175236701965332,8.682064771652222
28,28,0,p38//p38_p38a_2e_dgl_group.pkl,p38//p38_p38a_2j_dgl_group.pkl,0.456223837238487,7.873540416857778,7.417316579619291,8,28,28,p38_p38a_2e,p38_p38a_2j,7.417316436767578,8.313689112663269
29,29,0,p38//p38_p38a_2e_dgl_group.pkl,p38//p38_p38a_3flz_dgl_group.pkl,0.8903723275138224,7.873540416857778,6.983168089343955,8,29,29,p38_p38a_2e,p38_p38a_3flz,6.983168125152588,7.468793630599976
30,30,0,p38//p38_p38a_2e_dgl_group.pkl,p38//p38_p38a_3fln_dgl_group.pkl,-0.1324520817789176,7.873540416857778,8.005992498636695,8,30,30,p38_p38a_2e,p38_p38a_3fln,8.005992889404297,7.93334024399519
