,Unnamed: 0,reference_num,Ligand1,Ligand2,Lable,Lable1,Lable2,Rank1,Rank2,Rank,Ligand1_num,Ligand2_num,abs_label_p,abs_predict_p
0,0,0,pfkfb3//lig_pfkfb3_70_dgl_group.pkl,pfkfb3//lig_pfkfb3_64_dgl_group.pkl,0.6399999999999997,7.55,6.91,32,0,32,lig_pfkfb3_70,lig_pfkfb3_64,6.909999847412109,7.61495053768158
1,1,0,pfkfb3//lig_pfkfb3_70_dgl_group.pkl,pfkfb3//lig_pfkfb3_63_dgl_group.pkl,1.2699999999999996,7.55,6.28,32,1,32,lig_pfkfb3_70,lig_pfkfb3_63,6.28000020980835,7.222948849201202
2,2,0,pfkfb3//lig_pfkfb3_70_dgl_group.pkl,pfkfb3//lig_pfkfb3_23_dgl_group.pkl,1.75,7.55,5.8,32,2,32,lig_pfkfb3_70,lig_pfkfb3_23,5.800000190734863,6.244549751281738
3,3,0,pfkfb3//lig_pfkfb3_70_dgl_group.pkl,pfkfb3//lig_pfkfb3_52_dgl_group.pkl,-0.0700000000000002,7.55,7.62,32,3,32,lig_pfkfb3_70,lig_pfkfb3_52,7.619999885559082,7.798592582345009
4,4,0,pfkfb3//lig_pfkfb3_70_dgl_group.pkl,pfkfb3//lig_pfkfb3_29_dgl_group.pkl,0.4799999999999995,7.55,7.07,32,4,32,lig_pfkfb3_70,lig_pfkfb3_29,7.070000171661377,7.417309507727623
5,5,0,pfkfb3//lig_pfkfb3_70_dgl_group.pkl,pfkfb3//lig_pfkfb3_30_dgl_group.pkl,0.8099999999999996,7.55,6.74,32,5,32,lig_pfkfb3_70,lig_pfkfb3_30,6.739999771118164,7.607585053890943
6,6,0,pfkfb3//lig_pfkfb3_70_dgl_group.pkl,pfkfb3//lig_pfkfb3_58_dgl_group.pkl,0.8599999999999994,7.55,6.69,32,6,32,lig_pfkfb3_70,lig_pfkfb3_58,6.690000057220459,7.925943315029144
7,7,0,pfkfb3//lig_pfkfb3_70_dgl_group.pkl,pfkfb3//lig_pfkfb3_57_dgl_group.pkl,-0.1299999999999999,7.55,7.68,32,7,32,lig_pfkfb3_70,lig_pfkfb3_57,7.679999828338623,8.228203296661377
8,8,0,pfkfb3//lig_pfkfb3_70_dgl_group.pkl,pfkfb3//lig_pfkfb3_49_dgl_group.pkl,1.7299999999999995,7.55,5.82,32,8,32,lig_pfkfb3_70,lig_pfkfb3_49,5.820000171661377,5.982316493988037
9,9,0,pfkfb3//lig_pfkfb3_70_dgl_group.pkl,pfkfb3//lig_pfkfb3_31_dgl_group.pkl,0.75,7.55,6.8,32,9,32,lig_pfkfb3_70,lig_pfkfb3_31,6.800000190734863,7.984154403209686
10,10,0,pfkfb3//lig_pfkfb3_70_dgl_group.pkl,pfkfb3//lig_pfkfb3_20_dgl_group.pkl,1.3099999999999996,7.55,6.24,32,10,32,lig_pfkfb3_70,lig_pfkfb3_20,6.239999771118164,6.408443570137024
11,11,0,pfkfb3//lig_pfkfb3_70_dgl_group.pkl,pfkfb3//lig_pfkfb3_59_dgl_group.pkl,1.5999999999999996,7.55,5.95,32,11,32,lig_pfkfb3_70,lig_pfkfb3_59,5.949999809265137,7.78835341334343
12,12,0,pfkfb3//lig_pfkfb3_70_dgl_group.pkl,pfkfb3//lig_pfkfb3_41_dgl_group.pkl,2.13,7.55,5.42,32,12,32,lig_pfkfb3_70,lig_pfkfb3_41,5.420000076293945,5.948309063911438
13,13,0,pfkfb3//lig_pfkfb3_70_dgl_group.pkl,pfkfb3//lig_pfkfb3_48_dgl_group.pkl,1.6799999999999995,7.55,5.87,32,13,32,lig_pfkfb3_70,lig_pfkfb3_48,5.869999885559082,6.156605243682861
14,14,0,pfkfb3//lig_pfkfb3_70_dgl_group.pkl,pfkfb3//lig_pfkfb3_53_dgl_group.pkl,2.42,7.55,5.13,32,14,32,lig_pfkfb3_70,lig_pfkfb3_53,5.130000114440918,7.987075507640839
15,15,0,pfkfb3//lig_pfkfb3_70_dgl_group.pkl,pfkfb3//lig_pfkfb3_46_dgl_group.pkl,1.79,7.55,5.76,32,15,32,lig_pfkfb3_70,lig_pfkfb3_46,5.760000228881836,6.257712125778198
16,16,0,pfkfb3//lig_pfkfb3_70_dgl_group.pkl,pfkfb3//lig_pfkfb3_65_dgl_group.pkl,0.5999999999999996,7.55,6.95,32,16,32,lig_pfkfb3_70,lig_pfkfb3_65,6.949999809265137,7.380522355437279
17,17,0,pfkfb3//lig_pfkfb3_70_dgl_group.pkl,pfkfb3//lig_pfkfb3_55_dgl_group.pkl,-0.25,7.55,7.8,32,17,32,lig_pfkfb3_70,lig_pfkfb3_55,7.800000190734863,8.026492059230804
18,18,0,pfkfb3//lig_pfkfb3_70_dgl_group.pkl,pfkfb3//lig_pfkfb3_60_dgl_group.pkl,1.58,7.55,5.97,32,18,32,lig_pfkfb3_70,lig_pfkfb3_60,5.96999979019165,6.508016586303711
