,Unnamed: 0,reference_num,Ligand1,Ligand2,Lable,Lable1,Lable2,Rank1,Rank2,Rank,Ligand1_num,Ligand2_num,abs_label_p,abs_predict_p
0,0,0,shp2//lig_shp2_Example4_dgl_group.pkl,shp2//lig_shp2_Example23_dgl_group.pkl,-0.4000000000000003,6.01,6.41,16,0,16,lig_shp2_Example4,lig_shp2_Example23,6.409999847412109,7.411951661109924
1,1,0,shp2//lig_shp2_Example4_dgl_group.pkl,shp2//lig_shp2_Example26_dgl_group.pkl,-0.5600000000000005,6.01,6.57,16,1,16,lig_shp2_Example4,lig_shp2_Example26,6.570000171661377,7.145032048225403
2,2,0,shp2//lig_shp2_Example4_dgl_group.pkl,shp2//lig_shp2_SHP836-2_dgl_group.pkl,1.09,6.01,4.92,16,2,16,lig_shp2_Example4,lig_shp2_SHP836-2,4.920000076293945,5.730281889438629
3,3,0,shp2//lig_shp2_Example4_dgl_group.pkl,shp2//lig_shp2_Example8_dgl_group.pkl,-1.1100000000000003,6.01,7.12,16,3,16,lig_shp2_Example4,lig_shp2_Example8,7.119999885559082,7.2804625034332275
4,4,0,shp2//lig_shp2_Example4_dgl_group.pkl,shp2//lig_shp2_Example14_dgl_group.pkl,-1.16,6.01,7.17,16,4,16,lig_shp2_Example4,lig_shp2_Example14,7.170000076293945,7.594301104545593
5,5,0,shp2//lig_shp2_Example4_dgl_group.pkl,shp2//lig_shp2_6_dgl_group.pkl,0.1200000000000001,6.01,5.89,16,5,16,lig_shp2_Example4,lig_shp2_6,5.889999866485596,7.498615860939026
6,6,0,shp2//lig_shp2_Example4_dgl_group.pkl,shp2//lig_shp2_Example6_dgl_group.pkl,-0.6400000000000006,6.01,6.65,16,6,16,lig_shp2_Example4,lig_shp2_Example6,6.650000095367432,7.609691500663757
7,7,0,shp2//lig_shp2_Example4_dgl_group.pkl,shp2//lig_shp2_SHP099-1_Example7_dgl_group.pkl,-1.1400000000000006,6.01,7.15,16,7,16,lig_shp2_Example4,lig_shp2_SHP099-1_Example7,7.150000095367432,7.499656677246094
8,8,0,shp2//lig_shp2_Example4_dgl_group.pkl,shp2//lig_shp2_Example24_dgl_group.pkl,-0.6400000000000006,6.01,6.65,16,8,16,lig_shp2_Example4,lig_shp2_Example24,6.650000095367432,7.2790985107421875
9,9,0,shp2//lig_shp2_Example4_dgl_group.pkl,shp2//lig_shp2_Example3_dgl_group.pkl,-0.0099999999999997,6.01,6.02,16,9,16,lig_shp2_Example4,lig_shp2_Example3,6.019999980926514,5.954423323273659
10,10,0,shp2//lig_shp2_Example4_dgl_group.pkl,shp2//lig_shp2_10_dgl_group.pkl,0.7699999999999996,6.01,5.24,16,10,16,lig_shp2_Example4,lig_shp2_10,5.239999771118164,7.10180401802063
11,11,0,shp2//lig_shp2_Example4_dgl_group.pkl,shp2//lig_shp2_Example27_dgl_group.pkl,-0.2300000000000004,6.01,6.24,16,11,16,lig_shp2_Example4,lig_shp2_Example27,6.239999771118164,5.767050310969353
12,12,0,shp2//lig_shp2_Example4_dgl_group.pkl,shp2//lig_shp2_4_dgl_group.pkl,1.7400000000000002,6.01,4.27,16,12,16,lig_shp2_Example4,lig_shp2_4,4.269999980926514,5.657411873340607
13,13,0,shp2//lig_shp2_Example4_dgl_group.pkl,shp2//lig_shp2_Example25_dgl_group.pkl,-0.4900000000000002,6.01,6.5,16,13,16,lig_shp2_Example4,lig_shp2_Example25,6.5,6.912971019744873
14,14,0,shp2//lig_shp2_Example4_dgl_group.pkl,shp2//lig_shp2_Example30_dgl_group.pkl,-0.7000000000000002,6.01,6.71,16,14,16,lig_shp2_Example4,lig_shp2_Example30,6.710000038146973,7.212466835975647
15,15,0,shp2//lig_shp2_Example4_dgl_group.pkl,shp2//lig_shp2_7_dgl_group.pkl,0.8199999999999994,6.01,5.19,16,15,16,lig_shp2_Example4,lig_shp2_7,5.190000057220459,6.953060984611511
16,16,0,shp2//lig_shp2_Example4_dgl_group.pkl,shp2//lig_shp2_Example4_dgl_group.pkl,0.0,6.01,6.01,16,16,16,lig_shp2_Example4,lig_shp2_Example4,6.010000228881836,6.089752227067947
17,17,0,shp2//lig_shp2_Example4_dgl_group.pkl,shp2//lig_shp2_Example22_dgl_group.pkl,-0.7599999999999998,6.01,6.77,16,17,17,lig_shp2_Example4,lig_shp2_Example22,6.769999980926514,7.722844243049622
18,18,0,shp2//lig_shp2_Example4_dgl_group.pkl,shp2//lig_shp2_Example5_dgl_group.pkl,0.4699999999999997,6.01,5.54,16,18,18,lig_shp2_Example4,lig_shp2_Example5,5.539999961853027,6.885781407356262
19,19,0,shp2//lig_shp2_Example4_dgl_group.pkl,shp2//lig_shp2_Example9_dgl_group.pkl,-0.4400000000000004,6.01,6.45,16,19,19,lig_shp2_Example4,lig_shp2_Example9,6.449999809265137,7.341972827911377
20,20,0,shp2//lig_shp2_Example4_dgl_group.pkl,shp2//lig_shp2_Example2_dgl_group.pkl,-0.0600000000000005,6.01,6.07,16,20,20,lig_shp2_Example4,lig_shp2_Example2,6.070000171661377,7.246306657791138
21,21,0,shp2//lig_shp2_Example4_dgl_group.pkl,shp2//lig_shp2_Example29_dgl_group.pkl,0.4199999999999999,6.01,5.59,16,21,21,lig_shp2_Example4,lig_shp2_Example29,5.590000152587891,5.842039868235588
22,22,0,shp2//lig_shp2_Example4_dgl_group.pkl,shp2//lig_shp2_Example1_dgl_group.pkl,-0.5800000000000001,6.01,6.59,16,22,22,lig_shp2_Example4,lig_shp2_Example1,6.590000152587891,7.686962127685547
