,Unnamed: 0,reference_num,Ligand1,Ligand2,Lable,Lable1,Lable2,Rank1,Rank2,Rank,Ligand1_num,Ligand2_num,abs_label_p,abs_predict_p
0,0,0,syk//lig_syk_CHEMBL3265027_dgl_group.pkl,syk//lig_syk_CHEMBL3265031_dgl_group.pkl,-1.2799999999999994,7.57,8.85,3,0,3,lig_syk_CHEMBL3265027,lig_syk_CHEMBL3265031,8.850000381469727,9.8737633228302
1,1,0,syk//lig_syk_CHEMBL3265027_dgl_group.pkl,syk//lig_syk_CHEMBL3265003_dgl_group.pkl,-0.3599999999999994,7.57,7.93,3,1,3,lig_syk_CHEMBL3265027,lig_syk_CHEMBL3265003,7.929999828338623,9.05331528186798
2,2,0,syk//lig_syk_CHEMBL3265027_dgl_group.pkl,syk//lig_syk_CHEMBL3264996_dgl_group.pkl,-0.25,7.57,7.82,3,2,3,lig_syk_CHEMBL3265027,lig_syk_CHEMBL3264996,7.820000171661377,8.62024974822998
3,3,0,syk//lig_syk_CHEMBL3265027_dgl_group.pkl,syk//lig_syk_CHEMBL3265027_dgl_group.pkl,0.0,7.57,7.57,3,3,3,lig_syk_CHEMBL3265027,lig_syk_CHEMBL3265027,7.570000171661377,7.649865508079529
4,4,0,syk//lig_syk_CHEMBL3265027_dgl_group.pkl,syk//lig_syk_CHEMBL3265000_dgl_group.pkl,-1.09,7.57,8.66,3,4,4,lig_syk_CHEMBL3265027,lig_syk_CHEMBL3265000,8.65999984741211,8.838929533958435
5,5,0,syk//lig_syk_CHEMBL3265027_dgl_group.pkl,syk//lig_syk_CHEMBL3265024_dgl_group.pkl,-1.0700000000000005,7.57,8.64,3,5,5,lig_syk_CHEMBL3265027,lig_syk_CHEMBL3265024,8.640000343322754,8.555713832378387
6,6,0,syk//lig_syk_CHEMBL3265027_dgl_group.pkl,syk//lig_syk_CHEMBL3265010_dgl_group.pkl,0.1400000000000005,7.57,7.43,3,6,6,lig_syk_CHEMBL3265027,lig_syk_CHEMBL3265010,7.429999828338623,7.995308220386505
7,7,0,syk//lig_syk_CHEMBL3265027_dgl_group.pkl,syk//lig_syk_CHEMBL3264997_dgl_group.pkl,-0.4800000000000004,7.57,8.05,3,7,7,lig_syk_CHEMBL3265027,lig_syk_CHEMBL3264997,8.050000190734863,8.521939218044281
8,8,0,syk//lig_syk_CHEMBL3265027_dgl_group.pkl,syk//lig_syk_CHEMBL3265018_dgl_group.pkl,-0.629999999999999,7.57,8.2,3,8,8,lig_syk_CHEMBL3265027,lig_syk_CHEMBL3265018,8.199999809265137,9.079228520393372
9,9,0,syk//lig_syk_CHEMBL3265027_dgl_group.pkl,syk//lig_syk_CHEMBL3265009_dgl_group.pkl,0.0200000000000004,7.57,7.55,3,9,9,lig_syk_CHEMBL3265027,lig_syk_CHEMBL3265009,7.550000190734863,8.375591218471527
10,10,0,syk//lig_syk_CHEMBL3265027_dgl_group.pkl,syk//lig_syk_CHEMBL3264998_dgl_group.pkl,-1.0199999999999996,7.57,8.59,3,10,10,lig_syk_CHEMBL3265027,lig_syk_CHEMBL3264998,8.59000015258789,9.126968741416931
11,11,0,syk//lig_syk_CHEMBL3265027_dgl_group.pkl,syk//lig_syk_CHEMBL3265037_dgl_group.pkl,-1.7899999999999991,7.57,9.36,3,11,11,lig_syk_CHEMBL3265027,lig_syk_CHEMBL3265037,9.359999656677246,9.369701504707336
12,12,0,syk//lig_syk_CHEMBL3265027_dgl_group.pkl,syk//lig_syk_CHEMBL3265013_dgl_group.pkl,0.3799999999999999,7.57,7.19,3,12,12,lig_syk_CHEMBL3265027,lig_syk_CHEMBL3265013,7.190000057220459,8.514439880847931
13,13,0,syk//lig_syk_CHEMBL3265027_dgl_group.pkl,syk//lig_syk_CHEMBL3265029_dgl_group.pkl,-0.5800000000000001,7.57,8.15,3,13,13,lig_syk_CHEMBL3265027,lig_syk_CHEMBL3265029,8.149999618530273,9.099693059921265
14,14,0,syk//lig_syk_CHEMBL3265027_dgl_group.pkl,syk//lig_syk_CHEMBL3264995_dgl_group.pkl,-1.5099999999999998,7.57,9.08,3,14,14,lig_syk_CHEMBL3265027,lig_syk_CHEMBL3264995,9.079999923706056,8.97394609451294
15,15,0,syk//lig_syk_CHEMBL3265027_dgl_group.pkl,syk//lig_syk_CHEMBL3259820_dgl_group.pkl,-0.1799999999999997,7.57,7.75,3,15,15,lig_syk_CHEMBL3265027,lig_syk_CHEMBL3259820,7.75,8.668316721916199
16,16,0,syk//lig_syk_CHEMBL3265027_dgl_group.pkl,syk//lig_syk_CHEMBL3265025_dgl_group.pkl,0.0899999999999998,7.57,7.48,3,16,16,lig_syk_CHEMBL3265027,lig_syk_CHEMBL3265025,7.480000019073486,8.617193937301636
17,17,0,syk//lig_syk_CHEMBL3265027_dgl_group.pkl,syk//lig_syk_CHEMBL3265011_dgl_group.pkl,1.2400000000000002,7.57,6.33,3,17,17,lig_syk_CHEMBL3265027,lig_syk_CHEMBL3265011,6.329999923706055,8.50333034992218
18,18,0,syk//lig_syk_CHEMBL3265027_dgl_group.pkl,syk//lig_syk_CHEMBL3265015_dgl_group.pkl,0.6200000000000001,7.57,6.95,3,18,18,lig_syk_CHEMBL3265027,lig_syk_CHEMBL3265015,6.949999809265137,8.806883573532104
19,19,0,syk//lig_syk_CHEMBL3265027_dgl_group.pkl,syk//lig_syk_CHEMBL3265023_dgl_group.pkl,-0.1099999999999994,7.57,7.68,3,19,19,lig_syk_CHEMBL3265027,lig_syk_CHEMBL3265023,7.679999828338623,9.050968527793884
20,20,0,syk//lig_syk_CHEMBL3265027_dgl_group.pkl,syk//lig_syk_CHEMBL3265016_dgl_group.pkl,-1.0,7.57,8.57,3,20,20,lig_syk_CHEMBL3265027,lig_syk_CHEMBL3265016,8.569999694824219,9.22023069858551
21,21,0,syk//lig_syk_CHEMBL3265027_dgl_group.pkl,syk//lig_syk_CHEMBL3265032_dgl_group.pkl,-0.5399999999999991,7.57,8.11,3,21,21,lig_syk_CHEMBL3265027,lig_syk_CHEMBL3265032,8.109999656677246,8.422740817070007
22,22,0,syk//lig_syk_CHEMBL3265027_dgl_group.pkl,syk//lig_syk_CHEMBL3265035_dgl_group.pkl,-0.5499999999999989,7.57,8.12,3,22,22,lig_syk_CHEMBL3265027,lig_syk_CHEMBL3265035,8.119999885559082,8.937745451927185
23,23,0,syk//lig_syk_CHEMBL3265027_dgl_group.pkl,syk//lig_syk_CHEMBL3265028_dgl_group.pkl,-0.5,7.57,8.07,3,23,23,lig_syk_CHEMBL3265027,lig_syk_CHEMBL3265028,8.069999694824219,8.680932760238647
