,reference_num,dir_1,dir_2,Label,Label1,Label2,Rank1,Rank2,Rank,lig1,lig2
0,1,AAK1_pose/AAK1_lig_11.pkl,AAK1_pose/AAK1_lig_23.pkl,-0.182622126214639,7.173925197299173,7.356547323513812,25,19,25,lig_11,lig_23
1,1,AAK1_pose/AAK1_lig_(S)-21.pkl,AAK1_pose/AAK1_lig_23.pkl,0.5642714304385628,7.920818753952375,7.356547323513812,18,19,19,lig_(S)-21,lig_23
2,1,AAK1_pose/AAK1_lig_17.pkl,AAK1_pose/AAK1_lig_23.pkl,-0.9128498242810998,6.443697499232712,7.356547323513812,4,19,19,lig_17,lig_23
3,1,AAK1_pose/AAK1_lig_26.pkl,AAK1_pose/AAK1_lig_23.pkl,0.4393326938302628,7.795880017344075,7.356547323513812,1,19,19,lig_26,lig_23
4,1,AAK1_pose/AAK1_lig_24.pkl,AAK1_pose/AAK1_lig_23.pkl,-0.9586073148417746,6.3979400086720375,7.356547323513812,15,19,19,lig_24,lig_23
5,1,AAK1_pose/AAK1_lig_(R)-21.pkl,AAK1_pose/AAK1_lig_23.pkl,-0.3342709288026597,7.022276394711152,7.356547323513812,7,19,19,lig_(R)-21,lig_23
6,1,AAK1_pose/AAK1_lig_7.pkl,AAK1_pose/AAK1_lig_23.pkl,0.5642714304385628,7.920818753952375,7.356547323513812,5,19,19,lig_7,lig_23
7,1,AAK1_pose/AAK1_lig_(R)-11.pkl,AAK1_pose/AAK1_lig_23.pkl,-0.6989700043360187,6.657577319177793,7.356547323513812,23,19,23,lig_(R)-11,lig_23
8,1,AAK1_pose/AAK1_lig_21.pkl,AAK1_pose/AAK1_lig_23.pkl,0.2632414347745815,7.619788758288394,7.356547323513812,3,19,19,lig_21,lig_23
9,1,AAK1_pose/AAK1_lig_12.pkl,AAK1_pose/AAK1_lig_23.pkl,-0.8336685782334747,6.522878745280337,7.356547323513812,28,19,28,lig_12,lig_23
10,1,AAK1_pose/AAK1_lig_33.pkl,AAK1_pose/AAK1_lig_23.pkl,-1.259637310505756,6.096910013008056,7.356547323513812,29,19,29,lig_33,lig_23
11,1,AAK1_pose/AAK1_lig_31.pkl,AAK1_pose/AAK1_lig_23.pkl,0.7801298163657311,8.136677139879543,7.356547323513812,22,19,22,lig_31,lig_23
12,2,AAK1_pose/AAK1_lig_23.pkl,AAK1_pose/AAK1_lig_11.pkl,0.182622126214639,7.356547323513812,7.173925197299173,19,25,25,lig_23,lig_11
13,2,AAK1_pose/AAK1_lig_(S)-21.pkl,AAK1_pose/AAK1_lig_11.pkl,0.7468935566532018,7.920818753952375,7.173925197299173,18,25,25,lig_(S)-21,lig_11
14,2,AAK1_pose/AAK1_lig_17.pkl,AAK1_pose/AAK1_lig_11.pkl,-0.7302276980664608,6.443697499232712,7.173925197299173,4,25,25,lig_17,lig_11
15,2,AAK1_pose/AAK1_lig_26.pkl,AAK1_pose/AAK1_lig_11.pkl,0.6219548200449019,7.795880017344075,7.173925197299173,1,25,25,lig_26,lig_11
16,2,AAK1_pose/AAK1_lig_24.pkl,AAK1_pose/AAK1_lig_11.pkl,-0.7759851886271356,6.3979400086720375,7.173925197299173,15,25,25,lig_24,lig_11
17,2,AAK1_pose/AAK1_lig_(R)-21.pkl,AAK1_pose/AAK1_lig_11.pkl,-0.1516488025880207,7.022276394711152,7.173925197299173,7,25,25,lig_(R)-21,lig_11
18,2,AAK1_pose/AAK1_lig_7.pkl,AAK1_pose/AAK1_lig_11.pkl,0.7468935566532018,7.920818753952375,7.173925197299173,5,25,25,lig_7,lig_11
19,2,AAK1_pose/AAK1_lig_(R)-11.pkl,AAK1_pose/AAK1_lig_11.pkl,-0.5163478781213797,6.657577319177793,7.173925197299173,23,25,25,lig_(R)-11,lig_11
20,2,AAK1_pose/AAK1_lig_21.pkl,AAK1_pose/AAK1_lig_11.pkl,0.4458635609892205,7.619788758288394,7.173925197299173,3,25,25,lig_21,lig_11
