reference_num,dir_1,dir_2,Label,Label1,Label2,Rank1,Rank2,Rank,lig1,lig2
1,AAK1_pose/AAK1_lig_21.pkl,AAK1_pose/AAK1_lig_7.pkl,-0.30102999566398125,7.619788758288394,7.920818753952375,3,5,5,lig_21,lig_7
1,AAK1_pose/AAK1_lig_(S)-21.pkl,AAK1_pose/AAK1_lig_7.pkl,0.0,7.920818753952375,7.920818753952375,18,5,18,lig_(S)-21,lig_7
1,AAK1_pose/AAK1_lig_(R)-21.pkl,AAK1_pose/AAK1_lig_7.pkl,-0.8985423592412225,7.022276394711152,7.920818753952375,7,5,7,lig_(R)-21,lig_7
1,AAK1_pose/AAK1_lig_(R)-11.pkl,AAK1_pose/AAK1_lig_7.pkl,-1.2632414347745815,6.657577319177793,7.920818753952375,23,5,23,lig_(R)-11,lig_7
1,AAK1_pose/AAK1_lig_11.pkl,AAK1_pose/AAK1_lig_7.pkl,-0.7468935566532018,7.173925197299173,7.920818753952375,25,5,25,lig_11,lig_7
1,AAK1_pose/AAK1_lig_24.pkl,AAK1_pose/AAK1_lig_7.pkl,-1.5228787452803374,6.3979400086720375,7.920818753952375,15,5,15,lig_24,lig_7
2,AAK1_pose/AAK1_lig_7.pkl,AAK1_pose/AAK1_lig_21.pkl,0.30102999566398125,7.920818753952375,7.619788758288394,5,3,5,lig_7,lig_21
2,AAK1_pose/AAK1_lig_(S)-21.pkl,AAK1_pose/AAK1_lig_21.pkl,0.30102999566398125,7.920818753952375,7.619788758288394,18,3,18,lig_(S)-21,lig_21
2,AAK1_pose/AAK1_lig_(R)-21.pkl,AAK1_pose/AAK1_lig_21.pkl,-0.5975123635772412,7.022276394711152,7.619788758288394,7,3,7,lig_(R)-21,lig_21
2,AAK1_pose/AAK1_lig_(R)-11.pkl,AAK1_pose/AAK1_lig_21.pkl,-0.9622114391106003,6.657577319177793,7.619788758288394,23,3,23,lig_(R)-11,lig_21
2,AAK1_pose/AAK1_lig_11.pkl,AAK1_pose/AAK1_lig_21.pkl,-0.44586356098922053,7.173925197299173,7.619788758288394,25,3,25,lig_11,lig_21
2,AAK1_pose/AAK1_lig_24.pkl,AAK1_pose/AAK1_lig_21.pkl,-1.2218487496163561,6.3979400086720375,7.619788758288394,15,3,15,lig_24,lig_21
