reference_num,dir_1,dir_2,Label,Label1,Label2,Rank1,Rank2,Rank,lig1,lig2
1,FGFR2_pose/FGFR2_lig_40.pkl,FGFR2_pose/FGFR2_lig_1.pkl,0.9208187539523758,7.017728766960432,6.096910013008056,12,2,12,lig_40,lig_1
1,FGFR2_pose/FGFR2_lig_43.pkl,FGFR2_pose/FGFR2_lig_1.pkl,1.0165992618194615,7.113509274827518,6.096910013008056,10,2,10,lig_43,lig_1
1,FGFR2_pose/FGFR2_lig_41.pkl,FGFR2_pose/FGFR2_lig_1.pkl,1.014349026309051,7.111259039317107,6.096910013008056,6,2,6,lig_41,lig_1
2,FGFR2_pose/FGFR2_lig_1.pkl,FGFR2_pose/FGFR2_lig_40.pkl,-0.9208187539523758,6.096910013008056,7.017728766960432,2,12,12,lig_1,lig_40
2,FGFR2_pose/FGFR2_lig_43.pkl,FGFR2_pose/FGFR2_lig_40.pkl,0.0957805078670857,7.113509274827518,7.017728766960432,10,12,12,lig_43,lig_40
2,FGFR2_pose/FGFR2_lig_41.pkl,FGFR2_pose/FGFR2_lig_40.pkl,0.09353027235667533,7.111259039317107,7.017728766960432,6,12,12,lig_41,lig_40
3,FGFR2_pose/FGFR2_lig_1.pkl,FGFR2_pose/FGFR2_lig_43.pkl,-1.0165992618194615,6.096910013008056,7.113509274827518,2,10,10,lig_1,lig_43
3,FGFR2_pose/FGFR2_lig_40.pkl,FGFR2_pose/FGFR2_lig_43.pkl,-0.0957805078670857,7.017728766960432,7.113509274827518,12,10,12,lig_40,lig_43
3,FGFR2_pose/FGFR2_lig_41.pkl,FGFR2_pose/FGFR2_lig_43.pkl,-0.00225023551041037,7.111259039317107,7.113509274827518,6,10,10,lig_41,lig_43
4,FGFR2_pose/FGFR2_lig_1.pkl,FGFR2_pose/FGFR2_lig_41.pkl,-1.014349026309051,6.096910013008056,7.111259039317107,2,6,6,lig_1,lig_41
4,FGFR2_pose/FGFR2_lig_40.pkl,FGFR2_pose/FGFR2_lig_41.pkl,-0.09353027235667533,7.017728766960432,7.111259039317107,12,6,12,lig_40,lig_41
4,FGFR2_pose/FGFR2_lig_43.pkl,FGFR2_pose/FGFR2_lig_41.pkl,0.00225023551041037,7.113509274827518,7.111259039317107,10,6,10,lig_43,lig_41
