reference_num,dir_1,dir_2,Label,Label1,Label2,Rank1,Rank2,Rank,lig1,lig2
1,FGFR2_pose/FGFR2_lig_34.pkl,FGFR2_pose/FGFR2_lig_1.pkl,0.8616973018337184,6.958607314841775,6.096910013008056,0,2,2,lig_34,lig_1
1,FGFR2_pose/FGFR2_lig_44.pkl,FGFR2_pose/FGFR2_lig_1.pkl,0.6064247967304128,6.703334809738469,6.096910013008056,1,2,2,lig_44,lig_1
1,FGFR2_pose/FGFR2_lig_2.pkl,FGFR2_pose/FGFR2_lig_1.pkl,-0.41912930774197577,5.6777807052660805,6.096910013008056,3,2,3,lig_2,lig_1
1,FGFR2_pose/FGFR2_lig_3.pkl,FGFR2_pose/FGFR2_lig_1.pkl,-0.5740312677277188,5.522878745280337,6.096910013008056,4,2,4,lig_3,lig_1
1,FGFR2_pose/FGFR2_lig_19.pkl,FGFR2_pose/FGFR2_lig_1.pkl,0.7569619513137056,6.853871964321762,6.096910013008056,5,2,5,lig_19,lig_1
1,FGFR2_pose/FGFR2_lig_42.pkl,FGFR2_pose/FGFR2_lig_1.pkl,0.4914702810287137,6.58838029403677,6.096910013008056,7,2,7,lig_42,lig_1
1,FGFR2_pose/FGFR2_lig_38.pkl,FGFR2_pose/FGFR2_lig_1.pkl,1.4482451269834336,7.54515513999149,6.096910013008056,8,2,8,lig_38,lig_1
1,FGFR2_pose/FGFR2_lig_15.pkl,FGFR2_pose/FGFR2_lig_1.pkl,0.0,6.096910013008056,6.096910013008056,9,2,9,lig_15,lig_1
1,FGFR2_pose/FGFR2_lig_18.pkl,FGFR2_pose/FGFR2_lig_1.pkl,0.5051499783199063,6.6020599913279625,6.096910013008056,11,2,11,lig_18,lig_1
1,FGFR2_pose/FGFR2_lig_S5.pkl,FGFR2_pose/FGFR2_lig_1.pkl,-0.6651117370750512,5.431798275933005,6.096910013008056,13,2,13,lig_S5,lig_1
1,FGFR2_pose/FGFR2_lig_S8.pkl,FGFR2_pose/FGFR2_lig_1.pkl,-0.4771212547196626,5.619788758288394,6.096910013008056,14,2,14,lig_S8,lig_1
2,FGFR2_pose/FGFR2_lig_34.pkl,FGFR2_pose/FGFR2_lig_40.pkl,-0.05912145211865738,6.958607314841775,7.017728766960432,0,12,12,lig_34,lig_40
2,FGFR2_pose/FGFR2_lig_44.pkl,FGFR2_pose/FGFR2_lig_40.pkl,-0.31439395722196295,6.703334809738469,7.017728766960432,1,12,12,lig_44,lig_40
2,FGFR2_pose/FGFR2_lig_2.pkl,FGFR2_pose/FGFR2_lig_40.pkl,-1.3399480616943515,5.6777807052660805,7.017728766960432,3,12,12,lig_2,lig_40
2,FGFR2_pose/FGFR2_lig_3.pkl,FGFR2_pose/FGFR2_lig_40.pkl,-1.4948500216800946,5.522878745280337,7.017728766960432,4,12,12,lig_3,lig_40
2,FGFR2_pose/FGFR2_lig_19.pkl,FGFR2_pose/FGFR2_lig_40.pkl,-0.1638568026386702,6.853871964321762,7.017728766960432,5,12,12,lig_19,lig_40
2,FGFR2_pose/FGFR2_lig_42.pkl,FGFR2_pose/FGFR2_lig_40.pkl,-0.4293484729236621,6.58838029403677,7.017728766960432,7,12,12,lig_42,lig_40
2,FGFR2_pose/FGFR2_lig_38.pkl,FGFR2_pose/FGFR2_lig_40.pkl,0.5274263730310578,7.54515513999149,7.017728766960432,8,12,12,lig_38,lig_40
2,FGFR2_pose/FGFR2_lig_15.pkl,FGFR2_pose/FGFR2_lig_40.pkl,-0.9208187539523758,6.096910013008056,7.017728766960432,9,12,12,lig_15,lig_40
2,FGFR2_pose/FGFR2_lig_18.pkl,FGFR2_pose/FGFR2_lig_40.pkl,-0.4156687756324695,6.6020599913279625,7.017728766960432,11,12,12,lig_18,lig_40
2,FGFR2_pose/FGFR2_lig_S5.pkl,FGFR2_pose/FGFR2_lig_40.pkl,-1.585930491027427,5.431798275933005,7.017728766960432,13,12,13,lig_S5,lig_40
2,FGFR2_pose/FGFR2_lig_S8.pkl,FGFR2_pose/FGFR2_lig_40.pkl,-1.3979400086720384,5.619788758288394,7.017728766960432,14,12,14,lig_S8,lig_40
3,FGFR2_pose/FGFR2_lig_34.pkl,FGFR2_pose/FGFR2_lig_43.pkl,-0.15490195998574308,6.958607314841775,7.113509274827518,0,10,10,lig_34,lig_43
3,FGFR2_pose/FGFR2_lig_44.pkl,FGFR2_pose/FGFR2_lig_43.pkl,-0.41017446508904865,6.703334809738469,7.113509274827518,1,10,10,lig_44,lig_43
