,reference_num,dir_1,dir_2,Label,Label1,Label2,Rank1,Rank2,Rank,lig1,lig2
0,1,WDR5_pose/WDR5_lig_22.pkl,WDR5_pose/WDR5_lig_8.pkl,-2.0690809191433,8.468521082957745,10.537602002101044,15,1,15,lig_22,lig_8
1,1,WDR5_pose/WDR5_lig_6.pkl,WDR5_pose/WDR5_lig_8.pkl,0.1199753170767472,10.657577319177792,10.537602002101044,4,1,4,lig_6,lig_8
2,1,WDR5_pose/WDR5_lig_12.pkl,WDR5_pose/WDR5_lig_8.pkl,-0.8514692224701985,9.686132779630846,10.537602002101044,20,1,20,lig_12,lig_8
3,1,WDR5_pose/WDR5_lig_5.pkl,WDR5_pose/WDR5_lig_8.pkl,-0.2779646915952884,10.259637310505756,10.537602002101044,17,1,17,lig_5,lig_8
4,1,WDR5_pose/WDR5_lig_23.pkl,WDR5_pose/WDR5_lig_8.pkl,0.0152399665567362,10.55284196865778,10.537602002101044,7,1,7,lig_23,lig_8
5,1,WDR5_pose/WDR5_lig_39.pkl,WDR5_pose/WDR5_lig_8.pkl,0.0152399665567362,10.55284196865778,10.537602002101044,13,1,13,lig_39,lig_8
6,1,WDR5_pose/WDR5_lig_29.pkl,WDR5_pose/WDR5_lig_8.pkl,-0.3437819760849319,10.193820026016112,10.537602002101044,6,1,6,lig_29,lig_8
7,1,WDR5_pose/WDR5_lig_35.pkl,WDR5_pose/WDR5_lig_8.pkl,0.0,10.537602002101044,10.537602002101044,2,1,2,lig_35,lig_8
8,1,WDR5_pose/WDR5_lig_21.pkl,WDR5_pose/WDR5_lig_8.pkl,0.1199753170767472,10.657577319177792,10.537602002101044,9,1,9,lig_21,lig_8
9,1,WDR5_pose/WDR5_lig_13.pkl,WDR5_pose/WDR5_lig_8.pkl,0.0644579892269199,10.602059991327964,10.537602002101044,12,1,12,lig_13,lig_8
10,1,WDR5_pose/WDR5_lig_2.pkl,WDR5_pose/WDR5_lig_8.pkl,-0.0561159419789323,10.481486060122112,10.537602002101044,16,1,16,lig_2,lig_8
11,1,WDR5_pose/WDR5_lig_4.pkl,WDR5_pose/WDR5_lig_8.pkl,-0.093904502868332,10.443697499232712,10.537602002101044,8,1,8,lig_4,lig_8
12,1,WDR5_pose/WDR5_lig_11.pkl,WDR5_pose/WDR5_lig_8.pkl,0.1006701618813643,10.638272163982409,10.537602002101044,19,1,19,lig_11,lig_8
13,1,WDR5_pose/WDR5_lig_10.pkl,WDR5_pose/WDR5_lig_8.pkl,-0.2003598337826186,10.337242168318426,10.537602002101044,14,1,14,lig_10,lig_8
14,1,WDR5_pose/WDR5_lig_19.pkl,WDR5_pose/WDR5_lig_8.pkl,-2.3505153587439,8.187086643357144,10.537602002101044,11,1,11,lig_19,lig_8
15,2,WDR5_pose/WDR5_lig_8.pkl,WDR5_pose/WDR5_lig_22.pkl,2.0690809191433,10.537602002101044,8.468521082957745,1,15,15,lig_8,lig_22
16,2,WDR5_pose/WDR5_lig_6.pkl,WDR5_pose/WDR5_lig_22.pkl,2.189056236220047,10.657577319177792,8.468521082957745,4,15,15,lig_6,lig_22
17,2,WDR5_pose/WDR5_lig_12.pkl,WDR5_pose/WDR5_lig_22.pkl,1.2176116966731012,9.686132779630846,8.468521082957745,20,15,20,lig_12,lig_22
18,2,WDR5_pose/WDR5_lig_5.pkl,WDR5_pose/WDR5_lig_22.pkl,1.7911162275480113,10.259637310505756,8.468521082957745,17,15,17,lig_5,lig_22
19,2,WDR5_pose/WDR5_lig_23.pkl,WDR5_pose/WDR5_lig_22.pkl,2.084320885700036,10.55284196865778,8.468521082957745,7,15,15,lig_23,lig_22
20,2,WDR5_pose/WDR5_lig_39.pkl,WDR5_pose/WDR5_lig_22.pkl,2.084320885700036,10.55284196865778,8.468521082957745,13,15,15,lig_39,lig_22
21,2,WDR5_pose/WDR5_lig_29.pkl,WDR5_pose/WDR5_lig_22.pkl,1.7252989430583678,10.193820026016112,8.468521082957745,6,15,15,lig_29,lig_22
22,2,WDR5_pose/WDR5_lig_35.pkl,WDR5_pose/WDR5_lig_22.pkl,2.0690809191433,10.537602002101044,8.468521082957745,2,15,15,lig_35,lig_22
23,2,WDR5_pose/WDR5_lig_21.pkl,WDR5_pose/WDR5_lig_22.pkl,2.189056236220047,10.657577319177792,8.468521082957745,9,15,15,lig_21,lig_22
24,2,WDR5_pose/WDR5_lig_13.pkl,WDR5_pose/WDR5_lig_22.pkl,2.13353890837022,10.602059991327964,8.468521082957745,12,15,15,lig_13,lig_22
25,2,WDR5_pose/WDR5_lig_2.pkl,WDR5_pose/WDR5_lig_22.pkl,2.0129649771643674,10.481486060122112,8.468521082957745,16,15,16,lig_2,lig_22
26,2,WDR5_pose/WDR5_lig_4.pkl,WDR5_pose/WDR5_lig_22.pkl,1.975176416274968,10.443697499232712,8.468521082957745,8,15,15,lig_4,lig_22
27,2,WDR5_pose/WDR5_lig_11.pkl,WDR5_pose/WDR5_lig_22.pkl,2.169751081024664,10.638272163982409,8.468521082957745,19,15,19,lig_11,lig_22
28,2,WDR5_pose/WDR5_lig_10.pkl,WDR5_pose/WDR5_lig_22.pkl,1.868721085360681,10.337242168318426,8.468521082957745,14,15,15,lig_10,lig_22
29,2,WDR5_pose/WDR5_lig_19.pkl,WDR5_pose/WDR5_lig_22.pkl,-0.2814344396006003,8.187086643357144,8.468521082957745,11,15,15,lig_19,lig_22
30,3,WDR5_pose/WDR5_lig_8.pkl,WDR5_pose/WDR5_lig_6.pkl,-0.1199753170767472,10.537602002101044,10.657577319177792,1,4,4,lig_8,lig_6
31,3,WDR5_pose/WDR5_lig_22.pkl,WDR5_pose/WDR5_lig_6.pkl,-2.189056236220047,8.468521082957745,10.657577319177792,15,4,15,lig_22,lig_6
32,3,WDR5_pose/WDR5_lig_12.pkl,WDR5_pose/WDR5_lig_6.pkl,-0.9714445395469458,9.686132779630846,10.657577319177792,20,4,20,lig_12,lig_6
33,3,WDR5_pose/WDR5_lig_5.pkl,WDR5_pose/WDR5_lig_6.pkl,-0.3979400086720357,10.259637310505756,10.657577319177792,17,4,17,lig_5,lig_6
34,3,WDR5_pose/WDR5_lig_23.pkl,WDR5_pose/WDR5_lig_6.pkl,-0.104735350520011,10.55284196865778,10.657577319177792,7,4,7,lig_23,lig_6
35,3,WDR5_pose/WDR5_lig_39.pkl,WDR5_pose/WDR5_lig_6.pkl,-0.104735350520011,10.55284196865778,10.657577319177792,13,4,13,lig_39,lig_6
36,3,WDR5_pose/WDR5_lig_29.pkl,WDR5_pose/WDR5_lig_6.pkl,-0.4637572931616791,10.193820026016112,10.657577319177792,6,4,6,lig_29,lig_6
37,3,WDR5_pose/WDR5_lig_35.pkl,WDR5_pose/WDR5_lig_6.pkl,-0.1199753170767472,10.537602002101044,10.657577319177792,2,4,4,lig_35,lig_6
38,3,WDR5_pose/WDR5_lig_21.pkl,WDR5_pose/WDR5_lig_6.pkl,0.0,10.657577319177792,10.657577319177792,9,4,9,lig_21,lig_6
39,3,WDR5_pose/WDR5_lig_13.pkl,WDR5_pose/WDR5_lig_6.pkl,-0.0555173278498273,10.602059991327964,10.657577319177792,12,4,12,lig_13,lig_6
40,3,WDR5_pose/WDR5_lig_2.pkl,WDR5_pose/WDR5_lig_6.pkl,-0.1760912590556795,10.481486060122112,10.657577319177792,16,4,16,lig_2,lig_6
41,3,WDR5_pose/WDR5_lig_4.pkl,WDR5_pose/WDR5_lig_6.pkl,-0.2138798199450793,10.443697499232712,10.657577319177792,8,4,8,lig_4,lig_6
42,3,WDR5_pose/WDR5_lig_11.pkl,WDR5_pose/WDR5_lig_6.pkl,-0.0193051551953828,10.638272163982409,10.657577319177792,19,4,19,lig_11,lig_6
43,3,WDR5_pose/WDR5_lig_10.pkl,WDR5_pose/WDR5_lig_6.pkl,-0.3203351508593659,10.337242168318426,10.657577319177792,14,4,14,lig_10,lig_6
44,3,WDR5_pose/WDR5_lig_19.pkl,WDR5_pose/WDR5_lig_6.pkl,-2.4704906758206477,8.187086643357144,10.657577319177792,11,4,11,lig_19,lig_6
45,4,WDR5_pose/WDR5_lig_8.pkl,WDR5_pose/WDR5_lig_12.pkl,0.8514692224701985,10.537602002101044,9.686132779630846,1,20,20,lig_8,lig_12
46,4,WDR5_pose/WDR5_lig_22.pkl,WDR5_pose/WDR5_lig_12.pkl,-1.2176116966731012,8.468521082957745,9.686132779630846,15,20,20,lig_22,lig_12
47,4,WDR5_pose/WDR5_lig_6.pkl,WDR5_pose/WDR5_lig_12.pkl,0.9714445395469458,10.657577319177792,9.686132779630846,4,20,20,lig_6,lig_12
48,4,WDR5_pose/WDR5_lig_5.pkl,WDR5_pose/WDR5_lig_12.pkl,0.57350453087491,10.259637310505756,9.686132779630846,17,20,20,lig_5,lig_12
49,4,WDR5_pose/WDR5_lig_23.pkl,WDR5_pose/WDR5_lig_12.pkl,0.8667091890269347,10.55284196865778,9.686132779630846,7,20,20,lig_23,lig_12
50,4,WDR5_pose/WDR5_lig_39.pkl,WDR5_pose/WDR5_lig_12.pkl,0.8667091890269347,10.55284196865778,9.686132779630846,13,20,20,lig_39,lig_12
51,4,WDR5_pose/WDR5_lig_29.pkl,WDR5_pose/WDR5_lig_12.pkl,0.5076872463852666,10.193820026016112,9.686132779630846,6,20,20,lig_29,lig_12
52,4,WDR5_pose/WDR5_lig_35.pkl,WDR5_pose/WDR5_lig_12.pkl,0.8514692224701985,10.537602002101044,9.686132779630846,2,20,20,lig_35,lig_12
53,4,WDR5_pose/WDR5_lig_21.pkl,WDR5_pose/WDR5_lig_12.pkl,0.9714445395469458,10.657577319177792,9.686132779630846,9,20,20,lig_21,lig_12
54,4,WDR5_pose/WDR5_lig_13.pkl,WDR5_pose/WDR5_lig_12.pkl,0.9159272116971184,10.602059991327964,9.686132779630846,12,20,20,lig_13,lig_12
55,4,WDR5_pose/WDR5_lig_2.pkl,WDR5_pose/WDR5_lig_12.pkl,0.7953532804912662,10.481486060122112,9.686132779630846,16,20,20,lig_2,lig_12
56,4,WDR5_pose/WDR5_lig_4.pkl,WDR5_pose/WDR5_lig_12.pkl,0.7575647196018664,10.443697499232712,9.686132779630846,8,20,20,lig_4,lig_12
57,4,WDR5_pose/WDR5_lig_11.pkl,WDR5_pose/WDR5_lig_12.pkl,0.9521393843515628,10.638272163982409,9.686132779630846,19,20,20,lig_11,lig_12
58,4,WDR5_pose/WDR5_lig_10.pkl,WDR5_pose/WDR5_lig_12.pkl,0.6511093886875798,10.337242168318426,9.686132779630846,14,20,20,lig_10,lig_12
59,4,WDR5_pose/WDR5_lig_19.pkl,WDR5_pose/WDR5_lig_12.pkl,-1.4990461362737015,8.187086643357144,9.686132779630846,11,20,20,lig_19,lig_12
60,5,WDR5_pose/WDR5_lig_8.pkl,WDR5_pose/WDR5_lig_5.pkl,0.2779646915952884,10.537602002101044,10.259637310505756,1,17,17,lig_8,lig_5
61,5,WDR5_pose/WDR5_lig_22.pkl,WDR5_pose/WDR5_lig_5.pkl,-1.7911162275480113,8.468521082957745,10.259637310505756,15,17,17,lig_22,lig_5
62,5,WDR5_pose/WDR5_lig_6.pkl,WDR5_pose/WDR5_lig_5.pkl,0.3979400086720357,10.657577319177792,10.259637310505756,4,17,17,lig_6,lig_5
63,5,WDR5_pose/WDR5_lig_12.pkl,WDR5_pose/WDR5_lig_5.pkl,-0.57350453087491,9.686132779630846,10.259637310505756,20,17,20,lig_12,lig_5
64,5,WDR5_pose/WDR5_lig_23.pkl,WDR5_pose/WDR5_lig_5.pkl,0.2932046581520247,10.55284196865778,10.259637310505756,7,17,17,lig_23,lig_5
65,5,WDR5_pose/WDR5_lig_39.pkl,WDR5_pose/WDR5_lig_5.pkl,0.2932046581520247,10.55284196865778,10.259637310505756,13,17,17,lig_39,lig_5
66,5,WDR5_pose/WDR5_lig_29.pkl,WDR5_pose/WDR5_lig_5.pkl,-0.0658172844896434,10.193820026016112,10.259637310505756,6,17,17,lig_29,lig_5
67,5,WDR5_pose/WDR5_lig_35.pkl,WDR5_pose/WDR5_lig_5.pkl,0.2779646915952884,10.537602002101044,10.259637310505756,2,17,17,lig_35,lig_5
68,5,WDR5_pose/WDR5_lig_21.pkl,WDR5_pose/WDR5_lig_5.pkl,0.3979400086720357,10.657577319177792,10.259637310505756,9,17,17,lig_21,lig_5
69,5,WDR5_pose/WDR5_lig_13.pkl,WDR5_pose/WDR5_lig_5.pkl,0.3424226808222084,10.602059991327964,10.259637310505756,12,17,17,lig_13,lig_5
70,5,WDR5_pose/WDR5_lig_2.pkl,WDR5_pose/WDR5_lig_5.pkl,0.2218487496163561,10.481486060122112,10.259637310505756,16,17,17,lig_2,lig_5
71,5,WDR5_pose/WDR5_lig_4.pkl,WDR5_pose/WDR5_lig_5.pkl,0.1840601887269564,10.443697499232712,10.259637310505756,8,17,17,lig_4,lig_5
72,5,WDR5_pose/WDR5_lig_11.pkl,WDR5_pose/WDR5_lig_5.pkl,0.3786348534766528,10.638272163982409,10.259637310505756,19,17,19,lig_11,lig_5
73,5,WDR5_pose/WDR5_lig_10.pkl,WDR5_pose/WDR5_lig_5.pkl,0.0776048578126697,10.337242168318426,10.259637310505756,14,17,17,lig_10,lig_5
74,5,WDR5_pose/WDR5_lig_19.pkl,WDR5_pose/WDR5_lig_5.pkl,-2.072550667148612,8.187086643357144,10.259637310505756,11,17,17,lig_19,lig_5
75,6,WDR5_pose/WDR5_lig_8.pkl,WDR5_pose/WDR5_lig_23.pkl,-0.0152399665567362,10.537602002101044,10.55284196865778,1,7,7,lig_8,lig_23
76,6,WDR5_pose/WDR5_lig_22.pkl,WDR5_pose/WDR5_lig_23.pkl,-2.084320885700036,8.468521082957745,10.55284196865778,15,7,15,lig_22,lig_23
77,6,WDR5_pose/WDR5_lig_6.pkl,WDR5_pose/WDR5_lig_23.pkl,0.104735350520011,10.657577319177792,10.55284196865778,4,7,7,lig_6,lig_23
78,6,WDR5_pose/WDR5_lig_12.pkl,WDR5_pose/WDR5_lig_23.pkl,-0.8667091890269347,9.686132779630846,10.55284196865778,20,7,20,lig_12,lig_23
79,6,WDR5_pose/WDR5_lig_5.pkl,WDR5_pose/WDR5_lig_23.pkl,-0.2932046581520247,10.259637310505756,10.55284196865778,17,7,17,lig_5,lig_23
80,6,WDR5_pose/WDR5_lig_39.pkl,WDR5_pose/WDR5_lig_23.pkl,0.0,10.55284196865778,10.55284196865778,13,7,13,lig_39,lig_23
81,6,WDR5_pose/WDR5_lig_29.pkl,WDR5_pose/WDR5_lig_23.pkl,-0.3590219426416681,10.193820026016112,10.55284196865778,6,7,7,lig_29,lig_23
82,6,WDR5_pose/WDR5_lig_35.pkl,WDR5_pose/WDR5_lig_23.pkl,-0.0152399665567362,10.537602002101044,10.55284196865778,2,7,7,lig_35,lig_23
83,6,WDR5_pose/WDR5_lig_21.pkl,WDR5_pose/WDR5_lig_23.pkl,0.104735350520011,10.657577319177792,10.55284196865778,9,7,9,lig_21,lig_23
84,6,WDR5_pose/WDR5_lig_13.pkl,WDR5_pose/WDR5_lig_23.pkl,0.0492180226701837,10.602059991327964,10.55284196865778,12,7,12,lig_13,lig_23
85,6,WDR5_pose/WDR5_lig_2.pkl,WDR5_pose/WDR5_lig_23.pkl,-0.0713559085356685,10.481486060122112,10.55284196865778,16,7,16,lig_2,lig_23
86,6,WDR5_pose/WDR5_lig_4.pkl,WDR5_pose/WDR5_lig_23.pkl,-0.1091444694250682,10.443697499232712,10.55284196865778,8,7,8,lig_4,lig_23
87,6,WDR5_pose/WDR5_lig_11.pkl,WDR5_pose/WDR5_lig_23.pkl,0.0854301953246281,10.638272163982409,10.55284196865778,19,7,19,lig_11,lig_23
88,6,WDR5_pose/WDR5_lig_10.pkl,WDR5_pose/WDR5_lig_23.pkl,-0.2155998003393548,10.337242168318426,10.55284196865778,14,7,14,lig_10,lig_23
89,6,WDR5_pose/WDR5_lig_19.pkl,WDR5_pose/WDR5_lig_23.pkl,-2.3657553253006363,8.187086643357144,10.55284196865778,11,7,11,lig_19,lig_23
90,7,WDR5_pose/WDR5_lig_8.pkl,WDR5_pose/WDR5_lig_39.pkl,-0.0152399665567362,10.537602002101044,10.55284196865778,1,13,13,lig_8,lig_39
91,7,WDR5_pose/WDR5_lig_22.pkl,WDR5_pose/WDR5_lig_39.pkl,-2.084320885700036,8.468521082957745,10.55284196865778,15,13,15,lig_22,lig_39
92,7,WDR5_pose/WDR5_lig_6.pkl,WDR5_pose/WDR5_lig_39.pkl,0.104735350520011,10.657577319177792,10.55284196865778,4,13,13,lig_6,lig_39
93,7,WDR5_pose/WDR5_lig_12.pkl,WDR5_pose/WDR5_lig_39.pkl,-0.8667091890269347,9.686132779630846,10.55284196865778,20,13,20,lig_12,lig_39
94,7,WDR5_pose/WDR5_lig_5.pkl,WDR5_pose/WDR5_lig_39.pkl,-0.2932046581520247,10.259637310505756,10.55284196865778,17,13,17,lig_5,lig_39
95,7,WDR5_pose/WDR5_lig_23.pkl,WDR5_pose/WDR5_lig_39.pkl,0.0,10.55284196865778,10.55284196865778,7,13,13,lig_23,lig_39
96,7,WDR5_pose/WDR5_lig_29.pkl,WDR5_pose/WDR5_lig_39.pkl,-0.3590219426416681,10.193820026016112,10.55284196865778,6,13,13,lig_29,lig_39
97,7,WDR5_pose/WDR5_lig_35.pkl,WDR5_pose/WDR5_lig_39.pkl,-0.0152399665567362,10.537602002101044,10.55284196865778,2,13,13,lig_35,lig_39
98,7,WDR5_pose/WDR5_lig_21.pkl,WDR5_pose/WDR5_lig_39.pkl,0.104735350520011,10.657577319177792,10.55284196865778,9,13,13,lig_21,lig_39
99,7,WDR5_pose/WDR5_lig_13.pkl,WDR5_pose/WDR5_lig_39.pkl,0.0492180226701837,10.602059991327964,10.55284196865778,12,13,13,lig_13,lig_39
100,7,WDR5_pose/WDR5_lig_2.pkl,WDR5_pose/WDR5_lig_39.pkl,-0.0713559085356685,10.481486060122112,10.55284196865778,16,13,16,lig_2,lig_39
101,7,WDR5_pose/WDR5_lig_4.pkl,WDR5_pose/WDR5_lig_39.pkl,-0.1091444694250682,10.443697499232712,10.55284196865778,8,13,13,lig_4,lig_39
102,7,WDR5_pose/WDR5_lig_11.pkl,WDR5_pose/WDR5_lig_39.pkl,0.0854301953246281,10.638272163982409,10.55284196865778,19,13,19,lig_11,lig_39
103,7,WDR5_pose/WDR5_lig_10.pkl,WDR5_pose/WDR5_lig_39.pkl,-0.2155998003393548,10.337242168318426,10.55284196865778,14,13,14,lig_10,lig_39
104,7,WDR5_pose/WDR5_lig_19.pkl,WDR5_pose/WDR5_lig_39.pkl,-2.3657553253006363,8.187086643357144,10.55284196865778,11,13,13,lig_19,lig_39
105,8,WDR5_pose/WDR5_lig_8.pkl,WDR5_pose/WDR5_lig_29.pkl,0.3437819760849319,10.537602002101044,10.193820026016112,1,6,6,lig_8,lig_29
106,8,WDR5_pose/WDR5_lig_22.pkl,WDR5_pose/WDR5_lig_29.pkl,-1.7252989430583678,8.468521082957745,10.193820026016112,15,6,15,lig_22,lig_29
107,8,WDR5_pose/WDR5_lig_6.pkl,WDR5_pose/WDR5_lig_29.pkl,0.4637572931616791,10.657577319177792,10.193820026016112,4,6,6,lig_6,lig_29
