,reference_num,dir_1,dir_2,Label,Label1,Label2,Rank1,Rank2,Rank,lig1,lig2
0,1,WDR5_pose/WDR5_lig_3.pkl,WDR5_pose/WDR5_lig_8.pkl,-0.08167004645132,10.455931955649724,10.537602002101044,0,1,1,lig_3,lig_8
1,1,WDR5_pose/WDR5_lig_27.pkl,WDR5_pose/WDR5_lig_8.pkl,0.1613680022349761,10.69897000433602,10.537602002101044,3,1,3,lig_27,lig_8
2,1,WDR5_pose/WDR5_lig_28.pkl,WDR5_pose/WDR5_lig_8.pkl,-1.308454013743189,9.229147988357855,10.537602002101044,5,1,5,lig_28,lig_8
3,1,WDR5_pose/WDR5_lig_26.pkl,WDR5_pose/WDR5_lig_8.pkl,-0.1286666091275439,10.4089353929735,10.537602002101044,10,1,10,lig_26,lig_8
4,1,WDR5_pose/WDR5_lig_25.pkl,WDR5_pose/WDR5_lig_8.pkl,-0.8993298381186356,9.638272163982409,10.537602002101044,18,1,18,lig_25,lig_8
5,2,WDR5_pose/WDR5_lig_3.pkl,WDR5_pose/WDR5_lig_22.pkl,1.98741087269198,10.455931955649724,8.468521082957745,0,15,15,lig_3,lig_22
6,2,WDR5_pose/WDR5_lig_27.pkl,WDR5_pose/WDR5_lig_22.pkl,2.230448921378276,10.69897000433602,8.468521082957745,3,15,15,lig_27,lig_22
7,2,WDR5_pose/WDR5_lig_28.pkl,WDR5_pose/WDR5_lig_22.pkl,0.7606269054001107,9.229147988357855,8.468521082957745,5,15,15,lig_28,lig_22
8,2,WDR5_pose/WDR5_lig_26.pkl,WDR5_pose/WDR5_lig_22.pkl,1.940414310015756,10.4089353929735,8.468521082957745,10,15,15,lig_26,lig_22
9,2,WDR5_pose/WDR5_lig_25.pkl,WDR5_pose/WDR5_lig_22.pkl,1.169751081024664,9.638272163982409,8.468521082957745,18,15,18,lig_25,lig_22
10,3,WDR5_pose/WDR5_lig_3.pkl,WDR5_pose/WDR5_lig_6.pkl,-0.2016453635280672,10.455931955649724,10.657577319177792,0,4,4,lig_3,lig_6
11,3,WDR5_pose/WDR5_lig_27.pkl,WDR5_pose/WDR5_lig_6.pkl,0.0413926851582289,10.69897000433602,10.657577319177792,3,4,4,lig_27,lig_6
12,3,WDR5_pose/WDR5_lig_28.pkl,WDR5_pose/WDR5_lig_6.pkl,-1.4284293308199365,9.229147988357855,10.657577319177792,5,4,5,lig_28,lig_6
13,3,WDR5_pose/WDR5_lig_26.pkl,WDR5_pose/WDR5_lig_6.pkl,-0.2486419262042911,10.4089353929735,10.657577319177792,10,4,10,lig_26,lig_6
14,3,WDR5_pose/WDR5_lig_25.pkl,WDR5_pose/WDR5_lig_6.pkl,-1.019305155195383,9.638272163982409,10.657577319177792,18,4,18,lig_25,lig_6
15,4,WDR5_pose/WDR5_lig_3.pkl,WDR5_pose/WDR5_lig_12.pkl,0.7697991760188785,10.455931955649724,9.686132779630846,0,20,20,lig_3,lig_12
16,4,WDR5_pose/WDR5_lig_27.pkl,WDR5_pose/WDR5_lig_12.pkl,1.012837224705175,10.69897000433602,9.686132779630846,3,20,20,lig_27,lig_12
17,4,WDR5_pose/WDR5_lig_28.pkl,WDR5_pose/WDR5_lig_12.pkl,-0.4569847912729905,9.229147988357855,9.686132779630846,5,20,20,lig_28,lig_12
18,4,WDR5_pose/WDR5_lig_26.pkl,WDR5_pose/WDR5_lig_12.pkl,0.7228026133426546,10.4089353929735,9.686132779630846,10,20,20,lig_26,lig_12
19,4,WDR5_pose/WDR5_lig_25.pkl,WDR5_pose/WDR5_lig_12.pkl,-0.0478606156484371,9.638272163982409,9.686132779630846,18,20,20,lig_25,lig_12
20,5,WDR5_pose/WDR5_lig_3.pkl,WDR5_pose/WDR5_lig_5.pkl,0.1962946451439684,10.455931955649724,10.259637310505756,0,17,17,lig_3,lig_5
21,5,WDR5_pose/WDR5_lig_27.pkl,WDR5_pose/WDR5_lig_5.pkl,0.4393326938302646,10.69897000433602,10.259637310505756,3,17,17,lig_27,lig_5
22,5,WDR5_pose/WDR5_lig_28.pkl,WDR5_pose/WDR5_lig_5.pkl,-1.0304893221479006,9.229147988357855,10.259637310505756,5,17,17,lig_28,lig_5
23,5,WDR5_pose/WDR5_lig_26.pkl,WDR5_pose/WDR5_lig_5.pkl,0.1492980824677445,10.4089353929735,10.259637310505756,10,17,17,lig_26,lig_5
24,5,WDR5_pose/WDR5_lig_25.pkl,WDR5_pose/WDR5_lig_5.pkl,-0.6213651465233472,9.638272163982409,10.259637310505756,18,17,18,lig_25,lig_5
25,6,WDR5_pose/WDR5_lig_3.pkl,WDR5_pose/WDR5_lig_23.pkl,-0.0969100130080562,10.455931955649724,10.55284196865778,0,7,7,lig_3,lig_23
26,6,WDR5_pose/WDR5_lig_27.pkl,WDR5_pose/WDR5_lig_23.pkl,0.1461280356782399,10.69897000433602,10.55284196865778,3,7,7,lig_27,lig_23
27,6,WDR5_pose/WDR5_lig_28.pkl,WDR5_pose/WDR5_lig_23.pkl,-1.3236939802999252,9.229147988357855,10.55284196865778,5,7,7,lig_28,lig_23
28,6,WDR5_pose/WDR5_lig_26.pkl,WDR5_pose/WDR5_lig_23.pkl,-0.1439065756842801,10.4089353929735,10.55284196865778,10,7,10,lig_26,lig_23
