,reference_num,dir_1,dir_2,Label,Label1,Label2,Rank1,Rank2,Rank,lig1,lig2
0,1,sEH_pose/sEH_lig_8f.pkl,sEH_pose/sEH_lig_8e.pkl,-0.0791812460476251,8.221848749616356,8.301029995663981,0,26,26,lig_8f,lig_8e
1,1,sEH_pose/sEH_lig_11f.pkl,sEH_pose/sEH_lig_8e.pkl,0.2218487496163561,8.522878745280337,8.301029995663981,1,26,26,lig_11f,lig_8e
2,1,sEH_pose/sEH_lig_11d.pkl,sEH_pose/sEH_lig_8e.pkl,0.0,8.301029995663981,8.301029995663981,2,26,26,lig_11d,lig_8e
3,1,sEH_pose/sEH_lig_6f.pkl,sEH_pose/sEH_lig_8e.pkl,-1.453318340047038,6.847711655616943,8.301029995663981,3,26,26,lig_6f,lig_8e
4,1,sEH_pose/sEH_lig_6c.pkl,sEH_pose/sEH_lig_8e.pkl,-1.9599948383284165,6.341035157335565,8.301029995663981,4,26,26,lig_6c,lig_8e
5,1,sEH_pose/sEH_lig_11b.pkl,sEH_pose/sEH_lig_8e.pkl,-0.4149733479708182,7.886056647693163,8.301029995663981,5,26,26,lig_11b,lig_8e
6,1,sEH_pose/sEH_lig_6j.pkl,sEH_pose/sEH_lig_8e.pkl,-1.5954962218255746,6.705533773838407,8.301029995663981,6,26,26,lig_6j,lig_8e
7,1,sEH_pose/sEH_lig_6n.pkl,sEH_pose/sEH_lig_8e.pkl,-1.8048206787211625,6.496209316942819,8.301029995663981,7,26,26,lig_6n,lig_8e
8,1,sEH_pose/sEH_lig_6k.pkl,sEH_pose/sEH_lig_8e.pkl,-2.339650157613684,5.961379838050298,8.301029995663981,8,26,26,lig_6k,lig_8e
9,1,sEH_pose/sEH_lig_6e.pkl,sEH_pose/sEH_lig_8e.pkl,-1.4857214264815797,6.815308569182402,8.301029995663981,9,26,26,lig_6e,lig_8e
10,1,sEH_pose/sEH_lig_10b.pkl,sEH_pose/sEH_lig_8e.pkl,0.2218487496163561,8.522878745280337,8.301029995663981,10,26,26,lig_10b,lig_8e
11,1,sEH_pose/sEH_lig_h.pkl,sEH_pose/sEH_lig_8e.pkl,-1.7923916894982543,6.508638306165727,8.301029995663981,11,26,26,lig_h,lig_8e
12,1,sEH_pose/sEH_lig_9b.pkl,sEH_pose/sEH_lig_8e.pkl,-0.3802112417116063,7.920818753952375,8.301029995663981,12,26,26,lig_9b,lig_8e
13,1,sEH_pose/sEH_lig_6d.pkl,sEH_pose/sEH_lig_8e.pkl,-1.0413926851582254,7.259637310505756,8.301029995663981,13,26,26,lig_6d,lig_8e
14,1,sEH_pose/sEH_lig_6l.pkl,sEH_pose/sEH_lig_8e.pkl,-1.3010299956639813,7.0,8.301029995663981,14,26,26,lig_6l,lig_8e
15,1,sEH_pose/sEH_lig_11c.pkl,sEH_pose/sEH_lig_8e.pkl,-0.0791812460476251,8.221848749616356,8.301029995663981,15,26,26,lig_11c,lig_8e
16,1,sEH_pose/sEH_lig_7g.pkl,sEH_pose/sEH_lig_8e.pkl,-1.8075350280688536,6.493494967595128,8.301029995663981,16,26,26,lig_7g,lig_8e
17,1,sEH_pose/sEH_lig_6m.pkl,sEH_pose/sEH_lig_8e.pkl,-1.7839035792727351,6.517126416391246,8.301029995663981,17,26,26,lig_6m,lig_8e
18,1,sEH_pose/sEH_lig_8b.pkl,sEH_pose/sEH_lig_8e.pkl,0.0,8.301029995663981,8.301029995663981,18,26,26,lig_8b,lig_8e
19,1,sEH_pose/sEH_lig_6b.pkl,sEH_pose/sEH_lig_8e.pkl,-1.8088858673598125,6.492144128304169,8.301029995663981,19,26,26,lig_6b,lig_8e
20,1,sEH_pose/sEH_lig_11e.pkl,sEH_pose/sEH_lig_8e.pkl,0.3979400086720375,8.698970004336019,8.301029995663981,20,26,26,lig_11e,lig_8e
21,1,sEH_pose/sEH_lig_9a.pkl,sEH_pose/sEH_lig_8e.pkl,-1.4969296480732153,6.804100347590766,8.301029995663981,23,26,26,lig_9a,lig_8e
22,1,sEH_pose/sEH_lig_11k.pkl,sEH_pose/sEH_lig_8e.pkl,-0.5563025007672886,7.744727494896693,8.301029995663981,24,26,26,lig_11k,lig_8e
23,1,sEH_pose/sEH_lig_8d.pkl,sEH_pose/sEH_lig_8e.pkl,-0.204119982655925,8.096910013008056,8.301029995663981,25,26,26,lig_8d,lig_8e
24,1,sEH_pose/sEH_lig_8g.pkl,sEH_pose/sEH_lig_8e.pkl,-0.0791812460476251,8.221848749616356,8.301029995663981,27,26,27,lig_8g,lig_8e
25,1,sEH_pose/sEH_lig_11h.pkl,sEH_pose/sEH_lig_8e.pkl,0.6989700043360187,9.0,8.301029995663981,28,26,28,lig_11h,lig_8e
26,1,sEH_pose/sEH_lig_6h.pkl,sEH_pose/sEH_lig_8e.pkl,-1.534026106056135,6.767003889607846,8.301029995663981,29,26,29,lig_6h,lig_8e
27,1,sEH_pose/sEH_lig_7a.pkl,sEH_pose/sEH_lig_8e.pkl,-0.7481880270062007,7.552841968657781,8.301029995663981,30,26,30,lig_7a,lig_8e
28,1,sEH_pose/sEH_lig_8a.pkl,sEH_pose/sEH_lig_8e.pkl,-0.1461280356782381,8.154901959985743,8.301029995663981,31,26,31,lig_8a,lig_8e
29,1,sEH_pose/sEH_lig_11a.pkl,sEH_pose/sEH_lig_8e.pkl,-0.7634279935629378,7.5376020021010435,8.301029995663981,32,26,32,lig_11a,lig_8e
30,1,sEH_pose/sEH_lig_6g.pkl,sEH_pose/sEH_lig_8e.pkl,-0.9822712330395688,7.318758762624412,8.301029995663981,33,26,33,lig_6g,lig_8e
31,1,sEH_pose/sEH_lig_8c.pkl,sEH_pose/sEH_lig_8e.pkl,0.2218487496163561,8.522878745280337,8.301029995663981,34,26,34,lig_8c,lig_8e
32,1,sEH_pose/sEH_lig_7e.pkl,sEH_pose/sEH_lig_8e.pkl,-0.8573324964312681,7.443697499232713,8.301029995663981,35,26,35,lig_7e,lig_8e
33,1,sEH_pose/sEH_lig_10d.pkl,sEH_pose/sEH_lig_8e.pkl,0.3979400086720375,8.698970004336019,8.301029995663981,37,26,37,lig_10d,lig_8e
34,1,sEH_pose/sEH_lig_11l.pkl,sEH_pose/sEH_lig_8e.pkl,-2.565847818673518,5.735182176990463,8.301029995663981,38,26,38,lig_11l,lig_8e
35,1,sEH_pose/sEH_lig_11i.pkl,sEH_pose/sEH_lig_8e.pkl,0.2218487496163561,8.522878745280337,8.301029995663981,39,26,39,lig_11i,lig_8e
36,1,sEH_pose/sEH_lig_7f.pkl,sEH_pose/sEH_lig_8e.pkl,-0.6434526764861879,7.657577319177793,8.301029995663981,41,26,41,lig_7f,lig_8e
37,1,sEH_pose/sEH_lig_11m.pkl,sEH_pose/sEH_lig_8e.pkl,0.6989700043360187,9.0,8.301029995663981,42,26,42,lig_11m,lig_8e
